c10orf53	c7h10orf53
c10orf67	c6h10orf67
c10orf71	c7h10orf71
c10orf90	c7h10orf90
c11orf1	c7h11orf1
c11orf24	c4h11orf24
c11orf49	c4h11orf49
c11orf53	c7h11orf53
c11orf54	c2h11orf54
c11orf58	c4h11orf58
c11orf65	c2h11orf65
c11orf68	c4h11orf68
c11orf74	c4h11orf74
c11orf87	c2h11orf87
c11orf95	c4h11orf95
c11orf96	c4h11orf96
c12orf10	c2h12orf10
c12orf4	c3h12orf4
c12orf40	c3h12orf40
c12orf42	c3h12orf42
c12orf45	c3h12orf45
c12orf49	c1h12orf49
c12orf57	c7h12orf57
c12orf63	c3h12orf63
c12orf63	cfap54
c12orf66	c3h12orf66
c12orf73	c3h12orf73
c14orf119	c1h14orf119
c14orf28	c8h14orf28
c14orf39	c8h14orf39
c14orf93	c1h14orf93
c15orf39	c3h15orf39
c15orf40	c3h15orf40
c15orf41	c8h15orf41
c15orf61	c3h15orf61
c16orf58	c9h16orf58
c16orf70	c4h16orf70
c16orf71	c9h16orf71
c16orf72	c9h16orf72
c16orf87	c4h16orf87
c16orf91	c9h16orf91
c16orf91	uqcc4
c17orf49	c3h17orf49
c17orf67	c10h17orf67
c17orf75	c10h17orf75
c17orf80	c10h17orf80
c17orf98	c10h17orf98
c18orf21	c6h18orf21
c18orf25	c1h18orf25
c18orf32	c1h18orf32
c18orf54	c1h18orf54
c19orf12	c4h19orf12
c19orf25	c1h19orf25
c19orf33	c8h19orf33
c19orf44	c1h19orf44
c19orf47	c8h19orf47
c19orf53	c3h19orf53
c19orf54	c8h19orf54
c1orf109	c2h1orf109
c1orf112	c4h1orf112
c1orf116	c2h1orf116
c1orf127	c7h1orf127
c1orf131	c5h1orf131
c1orf158	c7h1orf158
c1orf159	c7h1orf159
c1orf174	c7h1orf174
c1orf194	c2h1orf194
c1orf198	c5h1orf198
c1orf21	c4h1orf21
c1orf216	c2h1orf216
c1orf35	c6h1orf35
c1orf43	c8h1orf43
c1orf50	c7h1orf50
c1orf52	c4h1orf52
c1orf74	c2h1orf74
c1orf94	c2h1orf94
c20orf194	c1h20orf194
c20orf27	c1h20orf27
c20orf85	c10h20orf85
c21orf62	c2h21orf62
c21orf91	c2h21orf91
c22orf15	c1h22orf15
c22orf23	c4h22orf23
c22orf39	c1h22orf39
c2orf42	c3h2orf42
c2orf49	c2h2orf49
c2orf50	c5h2orf50
c2orf68	c3h2orf68
c2orf69	c9h2orf69
c2orf72	c5h2orf72
c2orf73	c5h2orf73
c2orf76	c9h2orf76
c2orf80	c9h2orf80
c2orf81	c1h2orf81
c3orf38	c2h3orf38
c3orf49	c4h3orf49
c3orf52	c2h3orf52
c3orf67	c4h3orf67
c3orf70	c9h3orf70
c3orf80	c5h3orf80
c4orf33.1	c1h4orf33.1
c4orf45	c1h4orf45
c4orf47	c1h4orf47
c4orf48	c1h4orf48
c4orf54	c1h4orf54
c5orf15	c1h5orf15
c5orf15	c3h5orf15
c5orf22	c6h5orf22
c5orf24	c3h5orf24
c5orf30	c1h5orf30
c5orf63	c1h5orf63
c6orf118	c5h6orf118
c6orf120	c5h6orf120
c6orf136	c8h6orf136
c6orf58	c5h6orf58
c6orf62	c6h6orf62
c7orf25	c6h7orf25
c7orf26	c9h7orf26
c7orf31	c6h7orf31
c7orf57	c6h7orf57
c8orf33	c9h8orf33
c8orf34	c6h8orf34
c8orf37	c6h8orf37
c8orf48	c8h8orf48
c8orf76	c7h8orf76
c8orf88	c6h8orf88
c9orf135	c1h9orf135
c9orf16	c8h9orf16
c9orf64	c9h9orf64
c9orf72	c1h9orf72
c9orf78	c8h9orf78
c9orf85	c1h9orf85
ccdc56	coa3
cxorf21	c2hxorf21
cxorf38	c2hxorf38
cxorf40a	c8hxorf40a
cxorf56	c8hxorf56
cxorf58	c2hxorf58
