gene_id,rep_symbol,uniprot_symbol,uniprot_id
GeneID:100488444,LOC100488444,gpr12,A0A803J7U6
GeneID:100489483,btnl10.2,LOC100489483,A0A8J0SQR9
GeneID:100037880,c9h2orf76,c2orf76,A0A8J1IRR7
GeneID:549411,ptrh2,LOC549411,A4IGX7
GeneID:100038306,LOC100038306,XB5805949,A4IH21
GeneID:100124973,maneal,prkacb,F7DEL9
GeneID:100486736,whrn,spring1,A0A7D9NJS6
GeneID:100488346,atp2b4,LOC100488346,A0A8J1J4C1
GeneID:100493344,nwd2,krt12.6,F6SZX5
GeneID:100497438,lingo3,znf534,F6U4D8
GeneID:733539,LOC733539,XB5733004,Q28GW7
GeneID:100486598,LOC100486598,exd3,A0A6I8Q3H7
GeneID:100491184,c4h11orf24,c11orf24,A0A6I8SIK7
GeneID:100486876,LOC100486876,XB5749398,A0A803JWC9
GeneID:779825,entrep2,fam189a1,A0A8J1J7R8
GeneID:779667,trnau1ap,trnau1apl1,A0A8J1JT11
GeneID:100127564,LOC100127564,XB5953580,A7YYK9
GeneID:100135136,LOC100135136,XB5756113,A9JSD2
GeneID:549416,a4gnt,LOC549416,B7ZTR8
GeneID:116407616,LOC116407616,ccdc42,F7B6M6
GeneID:100494966,yme1l1,rhag,F7DF24
GeneID:493545,anxa5,tmtc1,Q640T3
GeneID:733811,LOC733811,XB5919442,A0A803J2Z6
GeneID:100490380,LOC100490380,ik,A0A803J8Y8
GeneID:100497341,LOC100497341,LOC108644459,A0A803K0H1
GeneID:549814,pals2,mpp6,A0A8J0SNC8
GeneID:549982,cirbp,nmt1,F6TBP6
GeneID:779762,ywhag,ugt1a1,F6TYX1
GeneID:780057,scml2,rasl12,F6YNN0
GeneID:100101678,c2h2orf49,c2orf49,F7BDK7
GeneID:780093,rab9a,plvap,Q05AZ2
GeneID:733876,rbm12b,rbm12b.1,Q28D32
GeneID:548767,rgr,nudt6,Q28EK0
GeneID:496782,mettl2b,mettl2,Q5M8E6
GeneID:496653,med4,cryba4,A0A7D9NJS9
GeneID:108644478,LOC108644478,LOC108648372,A0A803K933
GeneID:100151727,lrig3,slc35g1,F6YDB3
GeneID:101733801,ptprh,XB5906919,F7DSS9
GeneID:100145576,rchy1l,foxo1,A0A6I8QJP8
GeneID:100492224,c6h8orf34,c8orf34,A0A6I8T1K3
GeneID:619589,tbx5,socs2,A0A7D9NLI1
GeneID:100486324,c8h14orf39,c14orf39,A0A803JS82
GeneID:100494220,lxn,rarres1,A0A803JYP4
GeneID:100036666,rad52,leprotl1,F7DHI3
GeneID:100486069,scrt1,scrt2,A0A803J893
GeneID:105946605,smim11,smim11a,A0A8J0SE61
GeneID:100485318,ntmt2,mettl11b,F7ABL8
GeneID:733556,LOC733556,XB5734924,Q28GK5
GeneID:448521,c8h19orf47,c19orf47,Q6DFP8
GeneID:448006,MGC69493,mgc69493,Q6GLH1
GeneID:100486093,nfil3l,LOC100486093,A0A6I8SE84
GeneID:100144721,kmt2b,prtn3,A0A7D9NJW2
GeneID:100495652,LOC100495652,XB5960368,A0A803JY10
GeneID:101731544,snapc2,MGC79786,Q68F81
GeneID:116412116,LOC116412116,crygdl.45,A0A6I8QQA8
