# GENE_SYMBOL	NCBI_GENE_ID	XB_GENE_ID	GENE_NAME
42sp43	GeneID:548848	XB-GENE-5898342	P43 5S RNA-binding protein
42sp50	GeneID:496924	XB-GENE-5853280	Elongation factor 1 alpha
KIAA0040	GeneID:100491699	NA	KIAA0040 ortholog
KIAA0232	GeneID:100135166	XB-GENE-5888041	KIAA0232
KIAA0319	GeneID:100497843	XB-GENE-6258279	KIAA0319
KIAA0319l	GeneID:100494286	XB-GENE-1013370	kiaa0319 like
KIAA0408	GeneID:100496334	NA	KIAA0408 ortholog
KIAA0513	GeneID:100125070	XB-GENE-5956311	KIAA0513
KIAA0586	GeneID:733508	XB-GENE-5929458	KIAA0586
KIAA0753	GeneID:100379787	XB-GENE-1000497	KIAA0753
KIAA0825	GeneID:100498255	XB-GENE-877130	KIAA0825
KIAA0930	GeneID:100135200	XB-GENE-979872	KIAA0930
KIAA1143	GeneID:548759	XB-GENE-945448	KIAA1143
KIAA1191	GeneID:100145417	XB-GENE-991069	KIAA1191
KIAA1210	GeneID:100170576	XB-GENE-5872817	KIAA1210
KIAA1217	GeneID:100496212	XB-GENE-6048493	KIAA1217
KIAA1257	GeneID:100485911	XB-GENE-6044987	cilia and flagella associated protein 92 (putative)
KIAA1328	GeneID:100145612	XB-GENE-5799169	KIAA1328
KIAA1456L	GeneID:100488302	XB-GENE-985534	tRNA methyltransferase 9B (putative)
KIAA1522	GeneID:100485399	XB-GENE-6469276	KIAA1522
KIAA1549L	GeneID:100497697	XB-GENE-6258146	KIAA1549-like
KIAA1614	GeneID:100497220	XB-GENE-6467981	KIAA1614
KIAA1671	GeneID:100379851	XB-GENE-5870967	KIAA1671
KIAA1755	GeneID:100495112	NA	KIAA1755 ortholog
KIAA1958	GeneID:100170467	XB-GENE-5969966	KIAA1958
KIAA2012	GeneID:101733381	XB-GENE-22068568	KIAA2012
KIAA2013	GeneID:100124813	XB-GENE-955403	KIAA2013
KIAA2026	GeneID:733730	XB-GENE-5953234	KIAA2026
LOC100036663	GeneID:100036663	XB-GENE-5952315	uncharacterized XB5952314 (provisional)
LOC100036665	GeneID:100036665	NA	uncharacterized LOC100036665
LOC100036702	GeneID:100036702	XB-GENE-5934251	uncharacterized XB5934250
LOC100037901	GeneID:100037901	NA	hemoglobin subunit epsilon
LOC100038041	GeneID:100038041	NA	fetuin-B
LOC100038305	GeneID:100038305	NA	uncharacterized LOC100038305
LOC100038306	GeneID:100038306	XB-GENE-5805950	gap junction protein delta 2 like
LOC100124771	GeneID:100124771	XB-GENE-5729272	novel C3HC4 type (RING finger) and B-box zinc finger protein with SPRY domain
LOC100124775	GeneID:100124775	NA	uncharacterized LOC100124775
LOC100124781	GeneID:100124781	NA	ficolin-1
LOC100124783	GeneID:100124783	XB-GENE-5843936	potassium channel tetramerization domain containing 12 like
LOC100124812	GeneID:100124812	XB-GENE-1000830	uncharacterized XB1000829
LOC100124842	GeneID:100124842	XB-GENE-5957221	uncharacterized XB5957220
LOC100124852	GeneID:100124852	NA	uncharacterized LOC100124852
LOC100124950	GeneID:100124950	XB-GENE-5870895	uncharacterized XB5870894
LOC100124990	GeneID:100124990	XB-GENE-5822257	CDC42 effector protein 2 like
LOC100125044	GeneID:100125044	NA	uncharacterized LOC100125044
LOC100125049	GeneID:100125049	XB-GENE-5918806	provisional ortholog of LHFPL tetraspan subfamily member 3
LOC100125055	GeneID:100125055	XB-GENE-5962512	provisional ortholog of galanin receptor 2
LOC100125092	GeneID:100125092	XB-GENE-5817456	provisional ortholog of heparan sulfate-glucosamine 3-sulfotransferase 1
LOC100125166	GeneID:100125166	XB-GENE-5856771	uncharacterized XB5856770
LOC100127564	GeneID:100127564	XB-GENE-5953581	uncharacterized XB5953580
LOC100127565	GeneID:100127565	NA	uncharacterized LOC100127565
LOC100127596	GeneID:100127596	XB-GENE-5868339	Sad1 and UNC84 domain containing 3 like
LOC100127624	GeneID:100127624	XB-GENE-5901520	provisional ortholog of tumor protein p63 regulated 1 like
LOC100127632	GeneID:100127632	XB-GENE-5892896	uncharacterized XB5892895
LOC100127658	GeneID:100127658	XB-GENE-940378	uncharacterized XB940377
LOC100127659	GeneID:100127659	XB-GENE-5765668	uncharacterized XB5765667
LOC100127682	GeneID:100127682	XB-GENE-5944458	uncharacterized XB5944457
LOC100127716	GeneID:100127716	XB-GENE-5962422	uncharacterized XB5962421
LOC100127722	GeneID:100127722	XB-GENE-5812874	cysteine-rich venom protein TEL1
LOC100127750	GeneID:100127750	NA	cytochrome c oxidase subunit 4 isoform 1, mitochondrial
LOC100127789	GeneID:100127789	XB-GENE-5821670	provisional ortholog of nicotinamide N-methyltransferase
LOC100127794	GeneID:100127794	XB-GENE-5937758	uncharacterized XB5937757
LOC100127800	GeneID:100127800	NA	putative nuclease HARBI1
LOC100127805	GeneID:100127805	XB-GENE-5885670	putative methyltransferase DDB_G0268948
LOC100127817	GeneID:100127817	XB-GENE-5892958	uncharacterized XB5892957
LOC100127826	GeneID:100127826	XB-GENE-5873752	uncharacterized XB5873751
LOC100127850	GeneID:100127850	XB-GENE-5730116	uncharacterized XB5730115
