#NCBI-GeneID,XB-GENE-ID,GENE_SYMBOL
GeneID:100036593,XB-GENE-5806617,tor2a
GeneID:100036594,XB-GENE-953895,cyp19a1
GeneID:100036595,XB-GENE-976198,dao
GeneID:100036596,XB-GENE-1011124,rbms1
GeneID:100036597,XB-GENE-485801,nr2e3
GeneID:100036598,XB-GENE-6408100,mllt10
GeneID:100036599,XB-GENE-483712,jak2
GeneID:100036600,XB-GENE-995929,ptpn4
GeneID:100036601,XB-GENE-486376,nfib
GeneID:100036602,XB-GENE-5892603,eeig1
GeneID:100036603,XB-GENE-483465,dhh
GeneID:100036604,XB-GENE-494002,celf5
GeneID:100036605,XB-GENE-989817,igsf9
GeneID:100036606,XB-GENE-966528,usp20
GeneID:100036607,XB-GENE-982512,sgk2
GeneID:100036608,XB-GENE-1012329,cdc25b
GeneID:100036609,XB-GENE-493988,alox5
GeneID:100036610,XB-GENE-5836292,parl
GeneID:100036611,XB-GENE-5832553,crtc1
GeneID:100036612,XB-GENE-961025,man2a1
GeneID:100036613,XB-GENE-967980,acad10
GeneID:100036614,XB-GENE-990021,armc9
GeneID:100036615,XB-GENE-5827282,katnal2
GeneID:100036616,XB-GENE-968731,rnf31
GeneID:100036617,XB-GENE-5825492,wdr90
GeneID:100036618,XB-GENE-491393,sall1
GeneID:100036619,XB-GENE-5960761,ipo9
GeneID:100036620,XB-GENE-493119,epc1
GeneID:100036621,XB-GENE-853793,prom1
GeneID:100036622,XB-GENE-5729710,cracr2b
GeneID:100036623,XB-GENE-481066,rab11fip5
GeneID:100036624,XB-GENE-975750,stil
GeneID:100036625,XB-GENE-5942644,znf605
GeneID:100036626,XB-GENE-950532,fitm2
GeneID:100036627,XB-GENE-970501,znf687
GeneID:100036628,XB-GENE-877084,tet3
GeneID:100036629,XB-GENE-922445,axl
GeneID:100036630,XB-GENE-1032888,cnot1
GeneID:100036631,XB-GENE-478553,lamc1
GeneID:100036632,XB-GENE-960013,pcsk2
GeneID:100036633,XB-GENE-1006524,col9a2
GeneID:100036634,XB-GENE-951923,shfl
GeneID:100036635,XB-GENE-959430,mafk
GeneID:100036636,XB-GENE-6457921,proser2
GeneID:100036637,XB-GENE-960732,stk3
GeneID:100036638,XB-GENE-480785,rasa2
GeneID:100036639,XB-GENE-5868140,heatr5a
GeneID:100036640,XB-GENE-6257598,qser1
GeneID:100036641,XB-GENE-992232,tmem63c
GeneID:100036642,XB-GENE-5959064,b4galnt4
GeneID:100036643,XB-GENE-484342,mapk8ip2
GeneID:100036644,XB-GENE-1013749,pak4
GeneID:100036645,XB-GENE-999369,cnnm4
GeneID:100036646,XB-GENE-966769,rhbdf2
GeneID:100036647,XB-GENE-986854,sptan1
GeneID:100036648,XB-GENE-6455381,kif17
GeneID:100036649,XB-GENE-1000301,ankmy1
GeneID:100036650,XB-GENE-480278,rab8b
GeneID:100036651,XB-GENE-992248,man2c1
GeneID:100036652,XB-GENE-5882199,acsl3
GeneID:100036653,XB-GENE-983162,nek1
GeneID:100036654,XB-GENE-18006038,igsf3
GeneID:100036655,XB-GENE-990525,mlxip
GeneID:100036656,XB-GENE-1007472,bckdha
GeneID:100036658,XB-GENE-952929,fbxo11
GeneID:100036660,XB-GENE-854600,tfb2m
GeneID:100036661,XB-GENE-492213,ppp1r3a
GeneID:100036662,XB-GENE-5872994,paics.2
GeneID:100036663,XB-GENE-5952315,LOC100036663
GeneID:100036664,XB-GENE-487675,meis2
GeneID:100036665,NA,LOC100036665
GeneID:100036666,XB-GENE-991154,rad52
GeneID:100036667,XB-GENE-962981,herc4
GeneID:100036668,XB-GENE-1001585,iars1
GeneID:100036669,XB-GENE-962667,prxl2a
GeneID:100036670,XB-GENE-854443,tmeff2
GeneID:100036671,XB-GENE-6458859,dusp8
GeneID:100036672,XB-GENE-992989,brms1
GeneID:100036673,XB-GENE-960964,dipk1b
GeneID:100036674,XB-GENE-956016,bid
GeneID:100036675,XB-GENE-1004468,sbf2
GeneID:100036676,XB-GENE-975947,btbd3
GeneID:100036677,XB-GENE-852742,etv3
GeneID:100036678,XB-GENE-995449,zbtb21
GeneID:100036679,XB-GENE-989359,p3h1
GeneID:100036680,XB-GENE-5931269,heatr5b
GeneID:100036681,XB-GENE-989867,ttc17
GeneID:100036682,XB-GENE-1007728,slit1
GeneID:100036683,XB-GENE-877004,wnk1
GeneID:100036684,XB-GENE-5957307,gnptab
GeneID:100036685,XB-GENE-975856,zswim5
GeneID:100036686,XB-GENE-954449,neurl1
GeneID:100036687,XB-GENE-949213,jade1
GeneID:100036688,XB-GENE-6049805,clasp1
GeneID:100036689,XB-GENE-948966,cabin1
GeneID:100036690,XB-GENE-5760041,usp47
GeneID:100036691,XB-GENE-1009863,dusp16
GeneID:100036692,XB-GENE-981179,magi3
GeneID:100036693,XB-GENE-5755863,mtmr14
GeneID:100036694,XB-GENE-959346,atp6v0a1
GeneID:100036695,XB-GENE-5960869,dnah14
GeneID:100036696,XB-GENE-958530,plekha6
GeneID:100036697,XB-GENE-486996,mrc2
GeneID:100036698,XB-GENE-965507,fancd2os
GeneID:100036700,XB-GENE-1014590,c2h1orf116
GeneID:100036701,XB-GENE-6455341,znf516
