GeneID:ENTREZ_ID	XB-GENE-XB_GENE_ID
GeneID:101731300	XB-GENE-6251328
GeneID:116409858	XB-GENE-6032801
GeneID:101730668	XB-GENE-996923
GeneID:101733439	XB-GENE-6074535
GeneID:100492072	XB-GENE-6041446
GeneID:101732707	XB-GENE-876966
GeneID:100490464	XB-GENE-6035061
GeneID:549366	XB-GENE-992804
GeneID:496906	XB-GENE-29076834
GeneID:100495684	XB-GENE-29076838
GeneID:101735127	XB-GENE-6257381
GeneID:116410234	XB-GENE-29076842
GeneID:100492765	XB-GENE-29076846
GeneID:116410456	XB-GENE-921610
GeneID:116406432	XB-GENE-5787907
GeneID:100494774	XB-GENE-22062674
GeneID:113939908	XB-GENE-29076850
GeneID:100490095	XB-GENE-29076854
GeneID:116408631	XB-GENE-5762056
GeneID:100492376	XB-GENE-29076858
GeneID:100498330	XB-GENE-6047687
GeneID:101734636	XB-GENE-6050101
GeneID:100498531	XB-GENE-990867
GeneID:116412186	XB-GENE-17346948
GeneID:116408253	XB-GENE-29076862
GeneID:101733444	XB-GENE-1021745
GeneID:108645568	XB-GENE-6035627
GeneID:116412065	XB-GENE-996840
GeneID:116408027	XB-GENE-29076866
GeneID:105946937	XB-GENE-29076870
GeneID:100490355	XB-GENE-29076874
GeneID:100487418	XB-GENE-29076878
GeneID:108645783	XB-GENE-962898
GeneID:105947272	XB-GENE-29076882
GeneID:116408318	XB-GENE-29076886
GeneID:100497887	XB-GENE-29076890
GeneID:116408060	XB-GENE-1018550
GeneID:105948229	XB-GENE-29076894
GeneID:100498010	XB-GENE-29076898
GeneID:116407939	XB-GENE-29076902
GeneID:100486979	XB-GENE-29076906
GeneID:116408191	XB-GENE-6039250
GeneID:116408192	XB-GENE-17346933
GeneID:108645138	XB-GENE-29076911
GeneID:100498469	XB-GENE-29076915
GeneID:100497185	XB-GENE-29076919
GeneID:116408841	XB-GENE-29076923
GeneID:100493883	XB-GENE-29076927
GeneID:105946776	XB-GENE-29076931
GeneID:116410235	XB-GENE-29076935
GeneID:116410566	XB-GENE-29076939
GeneID:100487055	XB-GENE-29076943
GeneID:100498273	XB-GENE-29076947
GeneID:100127772	XB-GENE-29076951
GeneID:116410500	XB-GENE-980223
GeneID:101732317	XB-GENE-29076955
GeneID:100485425	XB-GENE-29076959
GeneID:101733122	XB-GENE-29076963
GeneID:100486516	XB-GENE-29076967
GeneID:100495010	XB-GENE-29076971
GeneID:105948016	XB-GENE-29076975
GeneID:101734554	XB-GENE-29076979
GeneID:116412425	XB-GENE-29076983
GeneID:100487253	XB-GENE-29076987
GeneID:101732072	XB-GENE-29076991
GeneID:101733379	XB-GENE-29076995
GeneID:100496712	XB-GENE-29076999
GeneID:101734550	XB-GENE-29077003
GeneID:100493126	XB-GENE-6462092
GeneID:116406751	XB-GENE-6257568
GeneID:100489231	XB-GENE-6031691
GeneID:116408028	XB-GENE-17346950
GeneID:105945790	XB-GENE-29077007
GeneID:101731161	XB-GENE-29077011
GeneID:105948360	XB-GENE-6076960
GeneID:116406727	XB-GENE-6460880
GeneID:779921	XB-GENE-29077015
GeneID:100492567	XB-GENE-29077019
GeneID:100498007	XB-GENE-29077023
GeneID:100489157	XB-GENE-29077027
GeneID:116406433	XB-GENE-29077031
GeneID:101734192	XB-GENE-29077035
GeneID:100489422	XB-GENE-29077039
GeneID:116409735	XB-GENE-1009086
GeneID:101731791	XB-GENE-29077043
GeneID:101734403	XB-GENE-29077047
GeneID:100490826	XB-GENE-29077051
GeneID:100496075	XB-GENE-29077055
GeneID:100497448	XB-GENE-29077059
GeneID:100486438	XB-GENE-29077063
GeneID:116412011	XB-GENE-6509937
GeneID:101734756	XB-GENE-29077067
GeneID:116408225	XB-GENE-29077071
GeneID:116408726	XB-GENE-29077075
GeneID:100496720	XB-GENE-29077079
GeneID:116408221	XB-GENE-979482
GeneID:101732126	XB-GENE-17346965
GeneID:100497591	XB-GENE-29077083
GeneID:116410454	XB-GENE-6460636
GeneID:101730689	XB-GENE-29077087
GeneID:100490964	XB-GENE-29077091
GeneID:101730578	XB-GENE-6465535
GeneID:116410481	XB-GENE-959770
GeneID:100487976	XB-GENE-29077095
GeneID:101733524	XB-GENE-6449530
GeneID:101731973	XB-GENE-6085854
GeneID:101731920	XB-GENE-29077099
GeneID:101731976	XB-GENE-6047460
GeneID:101734888	XB-GENE-29077103
GeneID:100490247	XB-GENE-29077107
GeneID:100490391	XB-GENE-29077111
GeneID:101730758	XB-GENE-989710
GeneID:100495843	XB-GENE-29077115
GeneID:116408871	XB-GENE-29077119
GeneID:100498193	XB-GENE-29077123
GeneID:496647	XB-GENE-5914296
GeneID:105948305	XB-GENE-29077127
GeneID:116408310	XB-GENE-483203
GeneID:100496802	XB-GENE-29077131
GeneID:548377	XB-GENE-29077135
GeneID:116406560	XB-GENE-29077139
GeneID:101731433	XB-GENE-6049503
GeneID:100498385	XB-GENE-29077143
GeneID:101734041	XB-GENE-29077147
GeneID:116409677	XB-GENE-17346945
GeneID:100485299	XB-GENE-6462491
GeneID:100495718	XB-GENE-29077151
GeneID:105947083	XB-GENE-29077155
GeneID:100488253	XB-GENE-29077159
GeneID:100494548	XB-GENE-29077163
GeneID:101731391	XB-GENE-29077167
GeneID:101730979	XB-GENE-29077171
GeneID:101733697	XB-GENE-29077175
GeneID:116407936	XB-GENE-6049123
GeneID:101734405	XB-GENE-29077179
GeneID:116406733	XB-GENE-29077183
GeneID:116409664	XB-GENE-940606
GeneID:100493059	XB-GENE-29077187
GeneID:116408861	XB-GENE-29077191
GeneID:101734866	XB-GENE-29077195
GeneID:116407983	XB-GENE-1014258
GeneID:116412320	XB-GENE-29077199
GeneID:100488800	XB-GENE-29077203
GeneID:100127812	XB-GENE-29077207
GeneID:116411570	XB-GENE-29077211
GeneID:101733128	XB-GENE-994589
GeneID:101733334	XB-GENE-29077215
GeneID:100495438	XB-GENE-29077219
GeneID:116406725	XB-GENE-5915965
GeneID:116408007	XB-GENE-29077223
GeneID:101734809	XB-GENE-29077227
GeneID:100490156	XB-GENE-482993
GeneID:100491969	XB-GENE-29077231
GeneID:108647650	XB-GENE-986647
GeneID:116406629	XB-GENE-5798521
GeneID:733884	XB-GENE-29077235
GeneID:100125107	XB-GENE-29077239
GeneID:116410978	XB-GENE-6002264
GeneID:101731919	XB-GENE-29077243
GeneID:100496507	XB-GENE-29077247
GeneID:116410885	XB-GENE-6465714
GeneID:100135416	XB-GENE-29077251
GeneID:116411101	XB-GENE-17346925
GeneID:116411679	XB-GENE-1013013
GeneID:116410953	XB-GENE-29077255
GeneID:101735236	XB-GENE-29077259
GeneID:116409728	XB-GENE-1004784
GeneID:101730461	XB-GENE-29077263
GeneID:100485075	XB-GENE-5832503
GeneID:100495852	XB-GENE-29077267
GeneID:100496088	XB-GENE-29077271
GeneID:100335042	XB-GENE-29077275
GeneID:100335043	XB-GENE-29077279
GeneID:116410488	XB-GENE-29077283
GeneID:116407838	XB-GENE-997776
GeneID:100486734	XB-GENE-29077287
GeneID:116411596	XB-GENE-481973
GeneID:116407511	XB-GENE-478962
GeneID:116409452	XB-GENE-29077291
GeneID:101732704	XB-GENE-25874671
GeneID:116410473	XB-GENE-29077295
GeneID:100496683	XB-GENE-29077299
GeneID:101732951	XB-GENE-29077303
GeneID:101733412	XB-GENE-6459863
GeneID:101732536	XB-GENE-29077307
GeneID:105946308	XB-GENE-29077311
GeneID:100496542	XB-GENE-29077315
GeneID:101734011	XB-GENE-29077319
GeneID:101731209	XB-GENE-29077323
GeneID:101731938	XB-GENE-29077327
GeneID:105948275	XB-GENE-29077331
GeneID:100486470	XB-GENE-29077335
GeneID:101730523	XB-GENE-29077339
GeneID:549355	XB-GENE-6458414
GeneID:116409679	XB-GENE-6035815
GeneID:105948501	XB-GENE-29077343
GeneID:108648102	XB-GENE-29077347
GeneID:116406644	XB-GENE-17346935
GeneID:116408751	XB-GENE-959134
GeneID:116410805	XB-GENE-956081
GeneID:101732753	XB-GENE-29077351
GeneID:100491699	XB-GENE-29077355
GeneID:100496334	XB-GENE-29077359
GeneID:100495112	XB-GENE-29077363
GeneID:100316931	XB-GENE-29077367
GeneID:100329184	XB-GENE-29077371
GeneID:100329185	XB-GENE-29077375
GeneID:116410950	XB-GENE-29077379
GeneID:100495612	XB-GENE-29077383
GeneID:100489775	XB-GENE-29077387
GeneID:116408018	XB-GENE-29077391
GeneID:101730897	XB-GENE-29077395
GeneID:101730385	XB-GENE-956656
GeneID:100496703	XB-GENE-29077399
GeneID:116409661	XB-GENE-18386059
GeneID:100036665	XB-GENE-29077403
GeneID:100037901	XB-GENE-29077407
GeneID:100038041	XB-GENE-29077411
GeneID:100038305	XB-GENE-29077415
GeneID:100124775	XB-GENE-29077419
GeneID:100124781	XB-GENE-29077423
GeneID:100124852	XB-GENE-29077427
GeneID:100125044	XB-GENE-29077431
GeneID:100127565	XB-GENE-29077435
GeneID:100127750	XB-GENE-29077439
GeneID:100127800	XB-GENE-29077443
GeneID:100127856	XB-GENE-29077447
GeneID:100127857	XB-GENE-29077451
GeneID:100127860	XB-GENE-29077455
GeneID:100135188	XB-GENE-29077459
GeneID:100135405	XB-GENE-29077463
GeneID:100144954	XB-GENE-29077467
GeneID:100144974	XB-GENE-29077471
GeneID:100145082	XB-GENE-29077475
GeneID:100145115	XB-GENE-29077479
GeneID:100145148	XB-GENE-29077483
GeneID:100145162	XB-GENE-29077487
GeneID:100145338	XB-GENE-29077491
GeneID:100145450	XB-GENE-29077495
GeneID:100145473	XB-GENE-29077499
GeneID:100145493	XB-GENE-29077503
GeneID:100145764	XB-GENE-29077507
GeneID:100145779	XB-GENE-29077511
GeneID:100145789	XB-GENE-29077515
GeneID:100145817	XB-GENE-29077519
GeneID:100170611	XB-GENE-29077523
GeneID:100170623	XB-GENE-29077527
GeneID:100216007	XB-GENE-29077531
GeneID:100216241	XB-GENE-29077535
GeneID:100216308	XB-GENE-29077539
GeneID:100328980	XB-GENE-29077543
GeneID:100329164	XB-GENE-29077547
GeneID:100337651	XB-GENE-29077551
GeneID:100484994	XB-GENE-29077555
GeneID:100485004	XB-GENE-29077559
GeneID:100485006	XB-GENE-29077563
GeneID:100485009	XB-GENE-29077567
GeneID:100485014	XB-GENE-29077571
GeneID:100485036	XB-GENE-29077575
GeneID:100485040	XB-GENE-29077579
GeneID:100485044	XB-GENE-29077583
GeneID:100485062	XB-GENE-29077587
GeneID:100485064	XB-GENE-29077591
GeneID:100485069	XB-GENE-29077595
GeneID:100485074	XB-GENE-29077599
GeneID:100485078	XB-GENE-29077603
GeneID:100485079	XB-GENE-29077607
GeneID:100485083	XB-GENE-29077611
GeneID:100485096	XB-GENE-29077615
GeneID:100485112	XB-GENE-29077619
GeneID:100485113	XB-GENE-29077623
GeneID:100485124	XB-GENE-29077627
GeneID:100485132	XB-GENE-29077631
GeneID:100485135	XB-GENE-29077635
GeneID:100485137	XB-GENE-29077639
GeneID:100485140	XB-GENE-29077643
GeneID:100485144	XB-GENE-29077647
GeneID:100485160	XB-GENE-29077651
GeneID:100485172	XB-GENE-29077655
GeneID:100485189	XB-GENE-29077659
GeneID:100485192	XB-GENE-29077663
GeneID:100485197	XB-GENE-29077667
GeneID:100485199	XB-GENE-29077671
GeneID:100485203	XB-GENE-29077675
GeneID:100485206	XB-GENE-29077679
GeneID:100485217	XB-GENE-29077683
GeneID:100485218	XB-GENE-29077687
GeneID:100485233	XB-GENE-29077691
GeneID:100485239	XB-GENE-29077695
GeneID:100485245	XB-GENE-29077699
GeneID:100485254	XB-GENE-29077703
GeneID:100485256	XB-GENE-29077707
GeneID:100485259	XB-GENE-29077711
GeneID:100485266	XB-GENE-29077715
GeneID:100485271	XB-GENE-29077719
GeneID:100485272	XB-GENE-29077723
GeneID:100485279	XB-GENE-29077727
GeneID:100485303	XB-GENE-29077731
GeneID:100485312	XB-GENE-29077735
GeneID:100485319	XB-GENE-29077739
GeneID:100485322	XB-GENE-29077743
GeneID:100485327	XB-GENE-29077747
GeneID:100485335	XB-GENE-29077751
GeneID:100485340	XB-GENE-29077755
GeneID:100485343	XB-GENE-29077759
GeneID:100485347	XB-GENE-29077763
GeneID:100485348	XB-GENE-29077767
GeneID:100485351	XB-GENE-29077771
GeneID:100485355	XB-GENE-29077775
GeneID:100485356	XB-GENE-29077779
GeneID:100485358	XB-GENE-29077783
GeneID:100485372	XB-GENE-29077787
GeneID:100485381	XB-GENE-29077791
GeneID:100485385	XB-GENE-29077795
GeneID:100485394	XB-GENE-29077799
GeneID:100485404	XB-GENE-29077803
GeneID:100485405	XB-GENE-29077807
GeneID:100485409	XB-GENE-29077811
GeneID:100485429	XB-GENE-29077815
GeneID:100485431	XB-GENE-29077819
GeneID:100485453	XB-GENE-29077823
GeneID:100485454	XB-GENE-29077827
GeneID:100485478	XB-GENE-29077831
GeneID:100485482	XB-GENE-29077835
GeneID:100485499	XB-GENE-29077839
GeneID:100485506	XB-GENE-29077843
GeneID:100485511	XB-GENE-29077847
GeneID:100485515	XB-GENE-29077851
GeneID:100485521	XB-GENE-29077855
GeneID:100485533	XB-GENE-29077859
GeneID:100485534	XB-GENE-29077863
GeneID:100485541	XB-GENE-29077867
GeneID:100485548	XB-GENE-29077871
GeneID:100485551	XB-GENE-29077875
GeneID:100485552	XB-GENE-29077879
GeneID:100485553	XB-GENE-29077883
