GENE_SYMBOL	GENE_NAME	MODEL_ID	ENTREZ_ID	XB_GENE_ID
aars2	alanyl-tRNA synthetase 2, mitochondrial	XBXT10g009120	101731300	6251328
abcb10	ATP binding cassette subfamily B member 10	XBXT10g008328	116409858	6032801
abcc8	ATP binding cassette subfamily C member 8	XBXT10g013216	101730668	996923
abcc9	ATP binding cassette subfamily C member 9	XBXT10g013868	101733439	6074535
abhd15	abhydrolase domain containing 15	XBXT10g003407	100492072	6041446
adap2	ArfGAP with dual PH domains 2	XBXT10g003719	101732707	876966
adcy5	adenylate cyclase 5	XBXT10g019475	100490464	6035061
adcy8	adenylate cyclase 8	XBXT10g003877	549366	992804
adh6	alcohol dehydrogenase 6 (class V)	XBXT10g015035	496906	29076834
adpgk	ADP dependent glucokinase	XBXT10g020664	100495684	29076838
agap3	ArfGAP with GTPase domain, ankyrin repeat and PH domain 3	XBXT10g008510	101735127	6257381
akip1	A-kinase interacting protein 1	XBXT10g005494	116410234	29076842
aknad1	AKNA domain containing 1	XBXT10g004881	100492765	29076846
amigo3	adhesion molecule with Ig like domain 3	XBXT10g009523	116410456	921610
ammecr1l	AMMECR1 like	XBXT10g008165	116406432	5787907
amz2	archaelysin family metallopeptidase 2	XBXT10g008634	100494774	22062674
ancv1r	ancient vomeronasal 1 receptor	XBXT10g020588	113939908	29076850
ankfn1	ankyrin repeat and fibronectin type III domain containing 1	XBXT10g012604	100490095	29076854
apbb1	amyloid beta (A4) precursor protein-binding, family B, member 1 (Fe65)	XBXT10g003038	116408631	5762056
apof	apolipoprotein F	XBXT10g011689	100492376	29076858
arap1	ArfGAP with RhoGAP domain, ankyrin repeat and PH domain 1	XBXT10g007080	100498330	6047687
arfgef3	ARFGEF family member 3	XBXT10g011639	101734636	6050101
arhgef18	Rho/Rac guanine nucleotide exchange factor 18	XBXT10g001801	100498531	990867
arhgef19	Rho guanine nucleotide exchange factor 19	XBXT10g002613	116412186	17346948
arid3c	AT-rich interaction domain 3C	XBXT10g020423	116408253	29076862
armh1	armadillo like helical domain containing 1	XBXT10g009213	101733444	1021745
ash1l	ASH1 like histone lysine methyltransferase	XBXT10g001284	108645568	6035627
atp13a2	ATPase cation transporting 13A2	XBXT10g016787	116412065	996840
