NCBI-GENE-ID,XB-GENE-ID,#GENE_SYMBOL
GeneID:100494082,XB-GENE-6538772,1a11
GeneID:548848,XB-GENE-5898342,42sp43
GeneID:496924,XB-GENE-5853280,42sp50
GeneID:100135166,XB-GENE-5888041,KIAA0232
GeneID:100497843,XB-GENE-6258279,KIAA0319
GeneID:100494286,XB-GENE-1013370,KIAA0319l
GeneID:100125070,XB-GENE-5956311,KIAA0513
GeneID:733508,XB-GENE-5929458,KIAA0586
GeneID:100379787,XB-GENE-1000497,KIAA0753
GeneID:100498255,XB-GENE-877130,KIAA0825
GeneID:100135200,XB-GENE-979872,KIAA0930
GeneID:548759,XB-GENE-945448,KIAA1143
GeneID:100145417,XB-GENE-991069,KIAA1191
GeneID:100170576,XB-GENE-5872817,KIAA1210
GeneID:100496212,XB-GENE-6048493,KIAA1217
GeneID:100145612,XB-GENE-5799169,KIAA1328
GeneID:100485399,XB-GENE-6469276,KIAA1522
GeneID:100497697,XB-GENE-6258146,KIAA1549l
GeneID:100497220,XB-GENE-6467981,KIAA1614
GeneID:100379851,XB-GENE-5870967,KIAA1671
GeneID:100170467,XB-GENE-5969966,KIAA1958
GeneID:101733381,XB-GENE-22068568,KIAA2012
GeneID:100124813,XB-GENE-955403,KIAA2013
GeneID:733730,XB-GENE-5953234,KIAA2026
GeneID:101732387,XB-GENE-5892987,MGC115163
GeneID:100170489,XB-GENE-5829341,MGC64513
GeneID:100379973,XB-GENE-5765108,MGC81615
GeneID:100124812,XB-GENE-1000830,XB1000829 [provisional]
GeneID:100495258,XB-GENE-1001291,XB1001290 [provisional:golgb1]
GeneID:100489238,XB-GENE-1010453,XB1010452 [provisional]
GeneID:100489880,XB-GENE-1014133,XB1014132 [provisional:ift22]
GeneID:733932,XB-GENE-1017156,XB1017155 [provisional]
GeneID:100496311,XB-GENE-13580953,XB13580952 [provisional]
GeneID:100486385,XB-GENE-22041732,XB22041731 [provisional]
GeneID:100492804,XB-GENE-22041736,XB22041735 [provisional:rnf220]
GeneID:100489282,XB-GENE-22061508,XB22061507 [provisional]
GeneID:100491629,XB-GENE-22061512,XB22061511 [provisional]
GeneID:101731543,XB-GENE-22061516,XB22061515 [provisional]
GeneID:100488828,XB-GENE-22062447,XB22062446 [provisional]
GeneID:100490316,XB-GENE-22062451,XB22062450 [provisional]
GeneID:101730250,XB-GENE-22062455,XB22062454 [provisional]
GeneID:100487364,XB-GENE-22063242,XB22063241 [provisional:ly6a2]
GeneID:734020,XB-GENE-22063323,XB22063322 [provisional:dnajc3]
GeneID:100485015,XB-GENE-22064856,XB22064855 [provisional:znf300]
GeneID:101731925,XB-GENE-22064860,XB22064859 [provisional]
GeneID:100493251,XB-GENE-22065092,XB22065091 [provisional:unc93a]
GeneID:100497605,XB-GENE-22065323,XB22065322 [provisional]
GeneID:101732407,XB-GENE-22065606,XB22065605 [provisional:sprtn]
GeneID:100487575,XB-GENE-22065717,XB22065716 [provisional]
GeneID:108645194,XB-GENE-22068620,XB22068619 [provisional]
GeneID:100496187,XB-GENE-22164557,XB22164556 [provisional]
GeneID:100496955,XB-GENE-22169527,XB22169526 [provisional]
GeneID:100487674,XB-GENE-22169563,XB22169562 (provisional)
GeneID:105947229,XB-GENE-22169641,XB22169640 [provisional]
GeneID:100493858,XB-GENE-5717432,XB5717431 [provisional:adad1]
GeneID:100497729,XB-GENE-5717876,XB5717875 [provisional:plac8]
GeneID:100496133,XB-GENE-5719932,XB5719931 [provisional]
GeneID:733570,XB-GENE-5720006,XB5720005 [provisional:nfam1]
GeneID:100490688,XB-GENE-5720878,XB5720877 [provisional:thap1]
GeneID:100158595,XB-GENE-5721469,XB5721468 [provisional]
GeneID:100497020,XB-GENE-5721642,XB5721641 [provisional:lpar6]
GeneID:100494072,XB-GENE-5721656,XB5721655 [provisional]
GeneID:100497555,XB-GENE-5721691,XB5721690 [provisional]
GeneID:100496808,XB-GENE-5722041,XB5722040 [provisional]
GeneID:733758,XB-GENE-5722076,XB5722075 [provisional]
GeneID:733945,XB-GENE-5722383,XB5722382 [provisional]
GeneID:733551,XB-GENE-5723327,XB5723326 [provisional]
GeneID:100496644,XB-GENE-5723377,XB5723376 [provisional]
GeneID:100486850,XB-GENE-5725481,XB5725480 [provisional]
GeneID:100498165,XB-GENE-5726392,XB5726391 [provisional]
GeneID:734009,XB-GENE-5726465,XB5726464 [provisional:zfp36l1]
GeneID:496989,XB-GENE-5726497,XB5726496 [provisional:tmem182]
