GeneID:100036593,XB-GENE-5806617
GeneID:100036594,XB-GENE-953895
GeneID:100036595,XB-GENE-976198
GeneID:100036596,XB-GENE-1011124
GeneID:100036597,XB-GENE-485801
GeneID:100036598,XB-GENE-6408100
GeneID:100036599,XB-GENE-483712
GeneID:100036600,XB-GENE-995929
GeneID:100036601,XB-GENE-486376
GeneID:100036602,XB-GENE-5892603
GeneID:100036603,XB-GENE-483465
GeneID:100036604,XB-GENE-494002
GeneID:100036605,XB-GENE-989817
GeneID:100036606,XB-GENE-966528
GeneID:100036607,XB-GENE-982512
GeneID:100036608,XB-GENE-1012329
GeneID:100036609,XB-GENE-493988
GeneID:100036610,XB-GENE-5836292
GeneID:100036611,XB-GENE-5832553
GeneID:100036612,XB-GENE-961025
GeneID:100036613,XB-GENE-967980
GeneID:100036614,XB-GENE-990021
GeneID:100036615,XB-GENE-5827282
GeneID:100036616,XB-GENE-968731
GeneID:100036617,XB-GENE-5825492
GeneID:100036618,XB-GENE-491393
GeneID:100036619,XB-GENE-5960761
GeneID:100036620,XB-GENE-493119
GeneID:100036621,XB-GENE-853793
GeneID:100036622,XB-GENE-5729710
GeneID:100036623,XB-GENE-481066
GeneID:100036624,XB-GENE-975750
GeneID:100036625,XB-GENE-5942644
GeneID:100036626,XB-GENE-950532
GeneID:100036627,XB-GENE-970501
GeneID:100036628,XB-GENE-877084
GeneID:100036629,XB-GENE-922445
GeneID:100036630,XB-GENE-1032888
GeneID:100036631,XB-GENE-478553
GeneID:100036632,XB-GENE-960013
GeneID:100036633,XB-GENE-1006524
GeneID:100036634,XB-GENE-951923
GeneID:100036635,XB-GENE-959430
GeneID:100036636,XB-GENE-6457921
GeneID:100036637,XB-GENE-960732
GeneID:100036638,XB-GENE-480785
GeneID:100036639,XB-GENE-5868140
GeneID:100036640,XB-GENE-6257598
GeneID:100036641,XB-GENE-992232
GeneID:100036642,XB-GENE-5959064
GeneID:100036643,XB-GENE-484342
GeneID:100036644,XB-GENE-1013749
GeneID:100036645,XB-GENE-999369
GeneID:100036646,XB-GENE-966769
GeneID:100036647,XB-GENE-986854
