tx_id error: >ND1|YP_203370.1|ND1|GeneID:3283492 xb_gene_id=NA
tx_id error: >ND2|YP_203371.1|ND2|GeneID:3283493 xb_gene_id=NA
tx_id error: >COX1|YP_203372.1|COX1|GeneID:3283494 xb_gene_id=NA
tx_id error: >COX2|YP_203373.1|COX2|GeneID:3283495 xb_gene_id=NA
tx_id error: >ATP8|YP_203374.1|ATP8|GeneID:3283496 xb_gene_id=NA
tx_id error: >ATP6|YP_203375.1|ATP6|GeneID:3283497 xb_gene_id=NA
tx_id error: >COX3|YP_203376.1|COX3|GeneID:3283498 xb_gene_id=NA
tx_id error: >ND3|YP_203377.1|ND3|GeneID:3283499 xb_gene_id=NA
tx_id error: >ND4L|YP_203378.1|ND4L|GeneID:3283500 xb_gene_id=NA
tx_id error: >ND4|YP_203379.1|ND4|GeneID:3283501 xb_gene_id=NA
tx_id error: >ND5|YP_203380.1|ND5|GeneID:3283502 xb_gene_id=NA
tx_id error: >ND6|YP_203381.1|ND6|GeneID:3283503 xb_gene_id=NA
tx_id error: >CYTB|YP_203382.1|CYTB|GeneID:3283504 xb_gene_id=NA
