Exists,Entrez,FeatureID,DBFeatureID,FeatureIDMatch,Symbol,DBSymbol,SymbolMatch,Model,DBModel,ModelMatch
Y,100036593,5806617,5806617,1,tor2a,tor2a,1,XBXT10g010920,XBXT10g010920,1
Y,100036594,953895,953895,1,cyp19a1,cyp19a1,1,XBXT10g001872,XBXT10g001872,1
Y,100036595,976198,976198,1,dao,dao,1,XBXT10g007891,XBXT10g007891,1
Y,100036596,1011124,1011124,1,rbms1,rbms1,1,XBXT10g010332,XBXT10g010332,1
Y,100036597,485801,485801,1,nr2e3,nr2e3,1,XBXT10g006067,XBXT10g006067,1
Y,100036598,6408100,6408100,1,mllt10,mllt10,1,XBXT10g018343,XBXT10g018343,1
Y,100036599,483712,483712,1,jak2,jak2,1,XBXT10g011611,XBXT10g011611,1
Y,100036600,995929,995929,1,ptpn4,ptpn4,1,XBXT10g016521,XBXT10g016521,1
Y,100036601,486376,486376,1,nfib,nfib,1,XBXT10g017640,XBXT10g017640,1
Y,548848,5898342,5898342,1,42Sp43,42sp43,1,XBXT10g005857,XBXT10g005857,1
Y,100036603,483465,483465,1,dhh,dhh,1,XBXT10g011504,XBXT10g011504,1
Y,100036604,494002,494002,1,celf5,celf5,1,XBXT10g020037,XBXT10g020037,1
Y,100036605,989817,989817,1,igsf9,igsf9,1,XBXT10g006250,XBXT10g006250,1
Y,100036606,966528,966528,1,usp20,usp20,1,XBXT10g016007,XBXT10g016007,1
Y,100036607,982512,982512,1,sgk2,sgk2,1,XBXT10g013279,XBXT10g013279,1
Y,100036608,1012329,1012329,1,cdc25b,cdc25b,1,XBXT10g013700,XBXT10g013700,1
Y,100036609,493988,493988,1,alox5,alox5,1,XBXT10g002275,XBXT10g002275,1
Y,100036610,5836292,5836292,1,parl,parl,1,XBXT10g007744,XBXT10g007744,1
Y,100036611,5832553,5832553,1,crtc1,crtc1,1,XBXT10g009417,XBXT10g009417,1
Y,100036612,961025,961025,1,man2a1,man2a1,1,XBXT10g004806,XBXT10g004806,1
Y,100036613,967980,967980,1,acad10,acad10,1,XBXT10g012923,XBXT10g012923,1
Y,100036614,990021,990021,1,armc9,armc9,1,XBXT10g017589,XBXT10g017589,1
Y,100036615,5827282,5827282,1,katnal2,katnal2,1,XBXT10g019899,XBXT10g019899,1
Y,100036616,968731,968731,1,rnf31,rnf31,1,XBXT10g007845,XBXT10g007845,1
Y,100036617,5825492,5825492,1,wdr90,wdr90,1,XBXT10g007803,XBXT10g007803,1
Y,100036618,491393,491393,1,sall1,sall1,1,XBXT10g018595,XBXT10g018595,1
Y,100036619,5960761,5960761,1,ipo9,ipo9,1,XBXT10g014528,XBXT10g014528,1
Y,100036620,493119,493119,1,epc1,epc1,1,XBXT10g018239,XBXT10g018239,1
Y,100036621,853793,853793,1,prom1,prom1,1,XBXT10g010145,XBXT10g010145,1
Y,100036622,5729710,5729710,1,cracr2b,cracr2b,1,XBXT10g007873,XBXT10g007873,1
Y,100036623,481066,481066,1,rab11fip5,rab11fip5,1,XBXT10g013317,XBXT10g013317,1
Y,100036624,975750,975750,1,stil,stil,1,XBXT10g013765,XBXT10g013765,1
Y,100036625,5942644,5942644,1,znf605,znf605,1,XBXT10g008511,XBXT10g008511,1
Y,100036626,950532,950532,1,fitm2,fitm2,1,XBXT10g018226,XBXT10g018226,1
