#XT_prot	XT_gene	HS_prot	HS_gene	OrthoID
XP_017949278	100145637	Q8NF91	23345	1
NP_001120509	100145637	Q8NF91	23345	1
XP_017949276	100145637	Q8NF91	23345	1
XP_017949279	100145637	Q8NF91	23345	1
XP_017949280	100145637	Q8NF91	23345	1
XP_017949281	100145637	Q8NF91	23345	1
XP_031749343	100491666	P20929	4703	2
XP_031749330	100491666	P20929	4703	2
XP_031749323	100491666	P20929	4703	2
XP_031749320	100491666	P20929	4703	2
XP_031749322	100491666	P20929	4703	2
XP_002936709	100491666	P20929	4703	2
XP_031749324	100491666	P20929	4703	2
XP_031749325	100491666	P20929	4703	2
XP_012826608	100491666	P20929	4703	2
XP_004917720	100491666	P20929	4703	2
XP_031749329	100491666	P20929	4703	2
XP_031749328	100491666	P20929	4703	2
XP_031749345	100491666	P20929	4703	2
XP_031749326	100491666	P20929	4703	2
XP_012826609	100491666	P20929	4703	2
XP_031749327	100491666	P20929	4703	2
XP_031749335	100491666	P20929	4703	2
XP_031749332	100491666	P20929	4703	2
XP_031749333	100491666	P20929	4703	2
XP_031749334	100491666	P20929	4703	2
XP_012826610	100491666	P20929	4703	2
XP_012826612	100491666	P20929	4703	2
XP_012826611	100491666	P20929	4703	2
XP_012826613	100491666	P20929	4703	2
XP_031749336	100491666	P20929	4703	2
XP_012826614	100491666	P20929	4703	2
XP_012826615	100491666	P20929	4703	2
XP_012826616	100491666	P20929	4703	2
XP_012826617	100491666	P20929	4703	2
XP_031749337	100491666	P20929	4703	2
XP_031749339	100491666	P20929	4703	2
XP_031749344	100491666	P20929	4703	2
XP_031749340	100491666	P20929	4703	2
XP_031749338	100491666	P20929	4703	2
XP_031749341	100491666	P20929	4703	2
XP_031761341	100329122	Q5T4S7	23352	3
XP_031761340	100329122	Q5T4S7	23352	3
XP_031761337	100329122	Q5T4S7	23352	3
XP_031761336	100329122	Q5T4S7	23352	3
XP_031761333	100329122	Q5T4S7	23352	3
XP_031761332	100329122	Q5T4S7	23352	3
XP_031761329	100329122	Q5T4S7	23352	3
XP_031761327	100329122	Q5T4S7	23352	3
XP_031761339	100329122	Q5T4S7	23352	3
XP_031761338	100329122	Q5T4S7	23352	3
XP_031761334	100329122	Q5T4S7	23352	3
XP_031761330	100329122	Q5T4S7	23352	3
XP_031761328	100329122	Q5T4S7	23352	3
XP_031761335	100329122	Q5T4S7	23352	3
XP_031761331	100329122	Q5T4S7	23352	3
XP_031747169	101731188	Q15413	6263	4
XP_031747162	101731188	Q15413	6263	4
XP_031747170	101731188	Q15413	6263	4
XP_031747161	101731188	Q15413	6263	4
XP_031747166	101731188	Q15413	6263	4
XP_031747168	101731188	Q15413	6263	4
XP_031747167	101731188	Q15413	6263	4
XP_031747165	101731188	Q15413	6263	4
XP_031747160	101731188	Q15413	6263	4
XP_031747163	101731188	Q15413	6263	4
XP_031747158	101731188	Q15413	6263	4
XP_031747164	101731188	Q15413	6263	4
XP_012813155	100487407	O95714	8924	5
XP_012813154	100487407	O95714	8924	5
XP_012813156	100487407	O95714	8924	5
XP_012813157	100487407	O95714	8924	5
XP_031752947	100379925	O75592	23077	6
XP_031752941	100379925	O75592	23077	6
XP_031752939	100379925	O75592	23077	6
XP_031752938	100379925	O75592	23077	6
XP_031752946	100379925	O75592	23077	6
XP_031752934	100379925	O75592	23077	6
XP_031752943	100379925	O75592	23077	6
XP_031752932	100379925	O75592	23077	6
XP_031752933	100379925	O75592	23077	6
XP_031752931	100379925	O75592	23077	6
XP_031752930	100379925	O75592	23077	6
XP_031752929	100379925	O75592	23077	6
XP_031752928	100379925	O75592	23077	6
XP_031752927	100379925	O75592	23077	6
XP_031752935	100379925	O75592	23077	6
XP_031752937	100379925	O75592	23077	6
XP_031752940	100379925	O75592	23077	6
XP_031752936	100379925	O75592	23077	6
XP_031752942	100379925	O75592	23077	6
XP_031752945	100379925	O75592	23077	6
XP_012819246	100135722	Q9NR09	57448	7
XP_031758792	100135722	Q9NR09	57448	7
XP_031758793	100135722	Q9NR09	57448	7
XP_031758794	100135722	Q9NR09	57448	7
XP_031758795	100135722	Q9NR09	57448	7
XP_031758796	100135722	Q9NR09	57448	7
XP_031752806	100127846	Q9UPN3	23499	8
XP_031752803	100127846	Q9UPN3	23499	8
XP_031752805	100127846	Q9UPN3	23499	8
XP_031752808	100127846	Q9UPN3	23499	8
XP_031752801	100127846	Q9UPN3	23499	8
XP_031752802	100127846	Q9UPN3	23499	8
XP_031752807	100127846	Q9UPN3	23499	8
XP_012812880	100127846	Q9UPN3	23499	8
XP_031752793	100127846	Q9UPN3	23499	8
XP_031752796	100127846	Q9UPN3	23499	8
XP_002940064	100127846	Q9UPN3	23499	8
XP_031752794	100127846	Q9UPN3	23499	8
XP_031752798	100127846	Q9UPN3	23499	8
XP_031752795	100127846	Q9UPN3	23499	8
XP_031752799	100127846	Q9UPN3	23499	8
XP_031752797	100127846	Q9UPN3	23499	8
XP_031752800	100127846	Q9UPN3	23499	8
XP_012812881	100127846	Q9UPN3	23499	8
XP_012812883	100127846	Q9UPN3	23499	8
XP_012812877	100127846	Q9UPN3	23499	8
XP_002939758	100485788	Q07954	4035	9
XP_012824470	100495378	P21817	6261	10
XP_004917163	100495378	P21817	6261	10
XP_002939294	100495378	P21817	6261	10
XP_004917160	100495378	P21817	6261	10
XP_012824471	100495378	P21817	6261	10
XP_012824472	100495378	P21817	6261	10
XP_012824469	100495378	P21817	6261	10
XP_004911174	100145590	Q6V0I7	79633	11
XP_012820905	100492041	Q8TE73	1767	12
XP_031759547	100492041	Q8TE73	1767	12
XP_031759546	100492041	Q8TE73	1767	12
XP_031753204	100493675	Q8TDW7	120114	13
XP_031753203	100493675	Q8TDW7	120114	13
XP_031753202	100493675	Q8TDW7	120114	13
XP_031753201	100493675	Q8TDW7	120114	13
XP_031753200	100493675	Q8TDW7	120114	13
XP_031753199	100493675	Q8TDW7	120114	13
XP_031748037	100126217	Q7Z6Z7	10075	14
XP_031748033	100126217	Q7Z6Z7	10075	14
XP_017952060	100126217	Q7Z6Z7	10075	14
XP_031748032	100126217	Q7Z6Z7	10075	14
XP_031748029	100126217	Q7Z6Z7	10075	14
XP_031748030	100126217	Q7Z6Z7	10075	14
XP_031748028	100126217	Q7Z6Z7	10075	14
XP_031748031	100126217	Q7Z6Z7	10075	14
XP_031748035	100126217	Q7Z6Z7	10075	14
XP_031748036	100126217	Q7Z6Z7	10075	14
XP_031753124	100498588	Q9NZJ4	26278	15
XP_031753123	100498588	Q9NZJ4	26278	15
XP_004912121	100498588	Q9NZJ4	26278	15
XP_002936802	100489914	P98164	4036	16
XP_012826499	100489914	P98164	4036	16
XP_012826271	100158625	Q9Y4A5	8295	17
XP_012826272	100158625	Q9Y4A5	8295	17
XP_002931993	100158625	Q9Y4A5	8295	17
XP_031750656	100494609	Q9NYC9	1770	18
XP_012824253	100145058	Q9Y4D8	283450	19
XP_012824247	100145058	Q9Y4D8	283450	19
XP_004910561	100145058	Q9Y4D8	283450	19
XP_012824248	100145058	Q9Y4D8	283450	19
XP_012824530	100492440	Q8IVF4	196385	20
XP_002940911	100489070	Q14517	2195	21
XP_002940912	100489070	Q14517	2195	21
XP_012811111	100489070	Q14517	2195	21
XP_004911243	100489070	Q14517	2195	21
XP_004911244	100489070	Q14517	2195	21
XP_031751285	100489070	Q14517	2195	21
XP_017951165	100489070	Q14517	2195	21
XP_002940362	100486293	Q9NU22	23195	22
XP_017950395	100487157	Q7Z407	114788	23
XP_031753175	100380107	Q8NCM8	79659	24
