#XT_gene	HS_gene	OrthoID
100036593	27433	9083
100036594	1588	4611
100036595	1610	7443
100036596	5937	4576
100036597	10002	6696
100036598	8028	1422
100036600	5775	1082
100036601	4781	4051
100036602	399665	6293
100036603	50846	7199
100036605	57549	2154
100036606	10868	1362
100036608	994	6972
100036609	240	2233
100036610	55486	7402
100036611	23373	3064
100036612	4124	1093
100036613	80724	1385
100036614	80210	3289
100036615	83473	4275
100036616	55072	2537
100036616	NA	2537
100036618	6299	609
100036619	55705	836
100036620	80314	1553
100036621	8842	3392
100036622	84766	12027
100036623	26056	6894
100036624	6491	3503
100036626	128486	10131
100036627	57592	2351
100036628	200424	1218
100036630	23019	84
100036631	3915	328
100036632	5126	2112
100036634	55337	9813
100036635	7975	10581
100036636	254427	11391
100036638	5922	1759
100036639	25938	382
100036640	79832	729
100036641	57156	3576
100036642	338707	2263
100036643	23542	3876
100036646	79651	1847
100036647	6709	76
100036648	57576	4907
100036649	51281	4660
100036650	51762	8783
100036651	4123	1413
100036652	2181	2462
100036654	3321	1684
100036655	22877	3218
100036656	593	4634
100036658	80204	846
100036660	64216	10498
100036661	5506	8876
100036666	5893	8799
100036667	26091	872
100036668	3376	595
100036669	84293	9761
100036670	23671	5529
100036673	138311	5906
100036674	637	12899
100036675	81846	235
100036676	22903	3034
100036677	2117	5840
100036678	49854	1980
100036679	64175	2840
100036680	54497	143
100036681	55761	1047
100036682	6585	297
100036684	79158	896
100036685	57643	683
100036686	9148	3733
100036687	79960	2390
100036688	23332	370
100036689	23523	274
100036690	55031	451
100036691	80824	3808
100036692	260425	756
100036693	64419	3242
100036694	535	1201
100036696	22874	2127
100036697	9902	640
100036698	115795	11765
100036700	79098	12165
100036701	9658	2158
100036703	84461	613
100036704	NA	705
100036705	7414	660
100036706	4735	5550
100036707	22856	1435
100036708	57649	1628
100036709	11234	1681
100036710	5469	474
100036711	5456	5120
100036714	79048	8012
100036716	22795	1851
100036717	4591	1603
100036718	4059	9550
100036719	8412	2774
100036720	121355	11275
100036721	50807	670
100036724	781	980
100036725	9746	1951
100036727	10418	1361
100036728	29956	6085
100036729	80216	2558
100036730	375775	726
100036731	8193	5880
100036732	30061	3646
100036733	7903	5432
100036734	25981	32
100036735	29906	5229
100036736	338596	8496
100036737	1734	8629
100036738	7173	2903
100036739	55907	7274
100037834	8204	2805
100037836	84131	5352
100037837	26509	178
100037838	440073	1732
100037839	4753	1267
100037840	5533	3578
100037841	79627	7660
100037842	4851	95
100037843	11033	5508
100037844	8506	1165
100037845	5361	182
100037846	57584	440
100037847	51308	9342
100037848	150864	4870
100037849	23118	2492
100037850	55707	9019
100037851	6840	383
100037852	6456	5776
100037853	627	8167
100037855	115703	3063
100037858	55315	7103
100037860	1496	868
100037861	3694	2684
100037862	10198	4948
100037864	140606	12195
100037866	10248	12563
100037867	84083	1710
100037868	55937	11965
100037869	201161	10422
100037870	55750	6005
100037871	24141	9435
100037873	11243	11539
100037877	23583	9561
100037879	6857	4323
100037880	130355	11770
100037882	3621	8614
100037883	55328	7797
100037884	10773	6386
100037885	51501	9236
100037888	54838	8269
100037889	79596	8770
100037890	23553	8346
100037892	57215	10633
100037893	11061	7247
100037895	79178	12228
100037897	26287	8884
100037898	10554	8737
100037900	6010	5757
100037901	3043	11718
100037901	3045	11718
100037901	3046	11718
100037901	3047	11718
100037901	3048	11718
100037902	23254	5794
100037903	391365	9640
100037904	6750	11897
100037905	9138	3939
100037906	145567	1252
100037907	27087	5970
100037909	306	7290
100037910	79144	12308
100037911	1543	5200
100037911	1544	5200
100037912	90355	9784
100037913	157807	5827
100037914	4284	8298
100037916	79953	8009
100037918	133015	10137
100037919	2139	3575
100038035	10818	3730
100038036	80071	9712
100038037	6046	2489
100038038	26584	13005
100038038	503835	13005
100038038	NA	13005
100038039	7026	4303
100038040	2669	7583
100038041	3273	12051
100038042	23592	3995
100038044	80018	1233
100038045	55719	7581
100038047	83732	4260
100038048	80045	8667
100038050	121512	3326
100038051	9620	107
100038052	5914	3869
100038054	1026	13000
100038055	26060	2019
100038056	140735	11773
100038057	51562	9814
100038058	3232	6203
100038059	344022	12898
100038060	2243	8582
100038061	55215	910
100038062	5862	8648
100038065	8320	3767
100038066	3827	11309
100038067	57147	5116
100038068	50805	6083
100038069	2018	7382
100038070	80142	8216
100038071	894	7542
100038072	4091	7807
100038073	282679	12258
100038074	8600	11411
100038075	22936	3664
100038077	4821	7728
100038078	283248	5737
100038079	1874	7049
100038081	6942	812
100038082	7976	1859
100038083	80863	10468
100038084	84504	8302
100038085	3237	9830
100038087	54619	6236
100038088	4089	2600
100038089	7422	10613
100038090	54626	12295
100038091	11166	7804
100038092	6006	10392
100038092	6007	10392
100038093	29841	2716
100038094	137814	11130
100038095	79648	6666
100038096	23316	867
100038097	100288687	12928
100038097	NA	12928
100038098	81706	11758
100038099	3199	5911
100038100	6422	8138
100038101	3021	10746
100038102	79890	4151
100038103	2707	8731
100038104	3833	7218
100038105	23589	11070
100038107	1155	9409
100038108	10376	3245
100038109	11030	9438
100038109	348093	9438
100038110	109	801
100038111	84823	3707
100038112	10147	7403
100038113	51596	12032
100038114	3624	5799
100038115	27164	704
100038116	23039	605
100038117	389119	12294
100038118	10137	2203
100038119	5252	5905
100038120	57018	3902
100038121	11335	9731
100038122	2017	4326
100038123	7846	3238
100038124	30062	9037
100038125	51696	3442
100038126	1616	8091
100038127	7922	7614
100038128	10952	11953
100038130	4116	10249
100038131	4189	9697
100038134	114791	1070
100038135	6297	4797
100038136	28988	6926
100038137	143686	4175
100038139	6997	12728
100038139	NA	12728
100038141	51111	1961
100038142	1123	3584
100038143	100134938	12674
100038144	6674	3909
100038145	79803	8349
100038146	3799	916
100038147	8650	3429
100038148	9254	919
100038149	9555	5179
100038150	5203	11454
100038151	79969	9852
100038155	3212	9513
100038156	5311	1588
100038157	733	11890
100038158	124540	5524
100038159	6902	11972
100038160	55576	157
100038161	23269	1419
100038162	7167	8205
100038163	9575	1693
100038164	1958	4681
100038165	25909	738
100038167	7543	1891
100038167	7544	1891
100038168	8856	8879
100038169	221527	6893
100038170	54756	3033
100038171	486	12981
100038173	54857	7174
100038174	9444	5548
100038176	7852	6716
100038177	57507	476
100038178	10507	2876
100038179	29763	6038
100038181	9031	641
100038182	57715	3597
100038183	7182	2513
100038184	9886	2238
100038185	55643	3635
100038186	50640	3997
100038187	8227	4128
100038188	8862	12985
100038189	2266	5985
100038190	2304	10103
100038191	551	11538
100038192	4824	12090
100038193	5504	11366
100038193	NA	11366
100038194	64750	1272
100038195	2035	2134
100038196	116039	5537
100038198	66008	2794
100038199	7936	7789
100038200	9603	7343
100038201	10265	6269
100038202	5154	10129
100038203	9536	11725
100038204	54769	9059
100038205	101059948	11211
100038206	2140	3977
100038207	6499	1449
100038208	79192	5909
100038209	6660	1758
100038210	8831	686
100038211	4170	11808
100038212	5075	7035
100038213	5546	7509
100038214	9044	217
100038215	5306	7118
100038217	171177	9696
100038218	79739	1840
100038219	421	1784
100038220	134265	2980
100038221	2651	7080
100038222	3192	2197
100038225	6239	990
100038226	8939	3180
100038228	4795	11797
100038230	9521	11178
100038231	51560	8839
100038232	10094	9401
100038234	2521	4321
100038236	6440	12549
100038237	25836	109
100038238	1053	11200
100038240	5286	456
100038241	7041	7959
100038242	1735	9773
100038243	29087	10548
100038244	6558	727
100038251	10950	11062
100038252	11060	2200
100038254	56605	4215
100038255	11059	1397
100038257	160	1021
100038258	4043	8136
100038259	23213	1332
100038260	64864	777
100038261	7472	5825
100038262	59353	10990
100038263	2300	10520
100038264	388650	5106
100038265	1389	11777
100038266	10605	5756
100038267	128710	11707
100038269	219287	8023
100038270	84188	3208
100038271	56965	2427
100038272	64968	12045
100038273	101928917	12997
100038273	NA	12997
100038274	8325	3048
100038275	151194	10993
100038276	90050	10987
100038279	201232	8524
100038280	64429	4843
100038281	134288	11190
100038282	23516	5639
100038283	2770	4963
100038284	10166	7376
100038284	83884	7376
100038285	2710	2973
100038285	2712	2973
100038285	2713	2973
100038286	2785	12284
100038288	8061	10960
100038289	9933	4002
100038290	4760	6283
100038291	4684	1763
100038292	11117	4180
100038293	7153	525
100038294	50674	12101
100038295	200185	11331
100038297	378708	12168
100038298	23452	3685
100038299	55656	1068
100038300	5648	2888
100038301	22920	1405
100038302	6622	11280
100038303	55052	11283
100038304	7917	2473
100038305	391365	9640
100038818	675	2089
100101245	84126	7115
100101655	116154	5386
100101657	91012	5833
100101658	30813	9700
100101659	6304	1661
100101660	4330	1223
100101661	90139	8929
100101662	117154	4037
100101664	10527	636
100101666	221711	7030
100101667	63915	11554
100101667	NA	11554
100101668	27287	12831
100101669	80381	10337
100101670	2990	3493
100101671	10993	7498
100101673	55823	1273
100101674	7174	499
100101677	1387	127
100101678	79074	11684
100101680	79109	3400
100101681	7025	4073
100101682	4929	2271
100101683	56005	11955
100101684	2104	3449
100101685	22866	895
100101686	9863	446
100101687	10085	3435
100101688	1141	3825
100101689	10664	1724
100101690	64771	7689
100101691	1163	12221
100101692	22881	3265
100101693	9915	1756
100101694	4038	181
100101695	83658	12087
100101696	9374	8630
100101697	28514	1831
100101698	117579	12675
100101699	51621	9671
100101700	6663	5327
100101701	8829	1450
100101702	6495	6570
100101703	6474	7042
100101704	9464	8794
100101705	4990	7801
100101707	55971	5360
100101708	3975	4166
100101709	5617	10443
100101710	64881	1734
100101711	26585	10055
100101712	2295	6319
100101713	5089	5010
100101715	8403	8003
100101716	1634	6464
100101717	8828	1565
100101718	3630	12601
100101719	6934	2547
100101720	3485	9344
100101723	1948	6641
100101724	6607	10368
100101725	11031	9313
100101726	5881	8834
100101727	85378	1709
100101728	10426	1091
100101729	10439	3217
100101730	51390	8708
100101731	27343	5076
100101732	9118	6113
100101733	10019	6814
100101735	916	12722
100101737	10817	6710
100101738	27254	10792
100101739	84894	2555
100101740	80851	8290
100101741	409	4703
100101742	93986	1610
100101743	81622	4836
100101744	7070	12758
100101745	25794	4866
100101746	1959	6172
100101748	26037	281
100101749	10655	5873
100101750	1745	8156
100101752	22828	1576
100101753	4744	5187
100101754	54587	8066
100101755	23450	405
100101756	5438	10706
100101757	9354	862
100101758	23582	10105
100101759	55661	2226
100101761	9975	4696
100101762	133308	5000
100101763	3175	3890
100101765	8792	10567
100101767	81621	8500
100101768	53358	4659
100101770	157567	8638
100101772	8577	6111
100101775	25928	10020
100101777	83937	9049
100101778	23746	6819
100101779	6929	4336
100101781	8140	3881
100101784	10736	6849
100101785	5764	10836
100101786	5865	9206
100101788	23531	7896
100101789	2737	518
100101790	4286	4189
100101791	10125	2315
100101792	5526	3763
100101794	6601	857
100101795	3191	3055
100101796	10121	4559
100101797	6594	794
100101800	10632	12333
100101800	267020	12333
100101801	3590	9779
100101802	27440	7827
100101803	54885	978
100101804	2257	7671
100101805	2169	11658
100113366	3215	9281
100124299	219541	9947
100124300	995	8588
100124301	9982	12432
100124302	7874	492
100124303	9039	3627
100124304	92181	7859
100124305	22882	3544
100124306	7552	1773
100124307	9781	6240
