#NCBI-GeneID,XB-GENE-ID GENE_NAME
GeneID:100036593,XB-GENE-5806617	torsin family 2, member A
GeneID:100036594,XB-GENE-953895	cytochrome P450 family 19 subfamily A member 1
GeneID:100036595,XB-GENE-976198	D-amino-acid oxidase
GeneID:100036596,XB-GENE-1011124	RNA binding motif, single stranded interacting protein 1
GeneID:100036597,XB-GENE-485801	nuclear receptor subfamily 2 group E member 3
GeneID:100036598,XB-GENE-6408100	MLLT10, histone lysine methyltransferase DOT1L cofactor
GeneID:100036599,XB-GENE-483712	Janus kinase 2 (a protein tyrosine kinase)
GeneID:100036600,XB-GENE-995929	protein tyrosine phosphatase, non-receptor type 4 (megakaryocyte)
GeneID:100036601,XB-GENE-486376	nuclear factor I B
GeneID:100036602,XB-GENE-5892603	EEIG family member 1
GeneID:100036603,XB-GENE-483465	desert hedgehog
GeneID:100036604,XB-GENE-494002	CUGBP Elav-like family member 5
GeneID:100036605,XB-GENE-989817	immunoglobulin superfamily member 9
GeneID:100036606,XB-GENE-966528	ubiquitin specific peptidase 20
GeneID:100036607,XB-GENE-982512	serum/glucocorticoid regulated kinase 2
GeneID:100036608,XB-GENE-1012329	cell division cycle 25B
GeneID:100036609,XB-GENE-493988	arachidonate 5-lipoxygenase
GeneID:100036610,XB-GENE-5836292	presenilin associated, rhomboid-like
GeneID:100036611,XB-GENE-5832553	CREB regulated transcription coactivator 1
GeneID:100036612,XB-GENE-961025	mannosidase, alpha, class 2A, member 1
GeneID:100036613,XB-GENE-967980	acyl-CoA dehydrogenase family member 10
GeneID:100036614,XB-GENE-990021	armadillo repeat containing 9
GeneID:100036615,XB-GENE-5827282	katanin p60 subunit A-like 2
GeneID:100036616,XB-GENE-968731	ring finger protein 31
GeneID:100036617,XB-GENE-5825492	WD repeat domain 90
GeneID:100036618,XB-GENE-491393	spalt-like transcription factor 1
GeneID:100036619,XB-GENE-5960761	importin 9
GeneID:100036620,XB-GENE-493119	enhancer of polycomb homolog 1
GeneID:100036621,XB-GENE-853793	prominin 1
GeneID:100036622,XB-GENE-5729710	calcium release activated channel regulator 2B
GeneID:100036623,XB-GENE-481066	RAB11 family interacting protein 5 (class 1)
GeneID:100036624,XB-GENE-975750	STIL, centriolar assembly protein
GeneID:100036625,XB-GENE-5942644	zinc finger protein 605
GeneID:100036626,XB-GENE-950532	fat storage-inducing transmembrane protein 2
GeneID:100036627,XB-GENE-970501	zinc finger protein 687
GeneID:100036628,XB-GENE-877084	tet methylcytosine dioxygenase 3
GeneID:100036629,XB-GENE-922445	AXL receptor tyrosine kinase
GeneID:100036630,XB-GENE-1032888	CCR4-NOT transcription complex subunit 1
GeneID:100036631,XB-GENE-478553	laminin subunit gamma 1
GeneID:100036632,XB-GENE-960013	proprotein convertase subtilisin/kexin type 2
GeneID:100036633,XB-GENE-1006524	collagen, type IX, alpha 2
GeneID:100036634,XB-GENE-951923	shiftless antiviral inhibitor of ribosomal frameshifting
GeneID:100036635,XB-GENE-959430	v-maf avian musculoaponeurotic fibrosarcoma oncogene homolog K
GeneID:100036636,XB-GENE-6457921	proline and serine rich 2
GeneID:100036637,XB-GENE-960732	serine/threonine kinase 3
GeneID:100036638,XB-GENE-480785	RAS p21 protein activator 2
GeneID:100036639,XB-GENE-5868140	HEAT repeat containing 5A
GeneID:100036640,XB-GENE-6257598	glutamine and serine rich 1
GeneID:100036641,XB-GENE-992232	transmembrane protein 63C
GeneID:100036642,XB-GENE-5959064	beta-1,4-N-acetyl-galactosaminyl transferase 4
GeneID:100036643,XB-GENE-484342	mitogen-activated protein kinase 8 interacting protein 2
GeneID:100036644,XB-GENE-1013749	p21 protein (Cdc42/Rac)-activated kinase 4
GeneID:100036645,XB-GENE-999369	cyclin and CBS domain divalent metal cation transport mediator 4
GeneID:100036646,XB-GENE-966769	rhomboid 5 homolog 2
GeneID:100036647,XB-GENE-986854	spectrin, alpha, non-erythrocytic 1
GeneID:100036648,XB-GENE-6455381	kinesin family member 17
GeneID:100036649,XB-GENE-1000301	ankyrin repeat and MYND domain containing 1
GeneID:100036650,XB-GENE-480278	RAB8B, member RAS oncogene family
GeneID:100036651,XB-GENE-992248	mannosidase, alpha, class 2C, member 1
GeneID:100036652,XB-GENE-5882199	acyl-CoA synthetase long chain family member 3
GeneID:100036653,XB-GENE-983162	NIMA-related kinase 1
GeneID:100036654,XB-GENE-18006038	immunoglobulin superfamily member 3
GeneID:100036655,XB-GENE-990525	MLX interacting protein
GeneID:100036656,XB-GENE-1007472	branched chain keto acid dehydrogenase E1, alpha polypeptide
GeneID:100036658,XB-GENE-952929	F-box protein 11
