#XT_prot	XT_gene	HS_prot	HS_gene	OrthoID
XP_017945372.2	108645134	NA	NA	ORTHOMCL0
XP_012811269.2	105946285	NA	NA	ORTHOMCL0
XP_031751013.1	116408379	NA	NA	ORTHOMCL0
XP_031759941.1	116411580	NA	NA	ORTHOMCL0
XP_031750981.1	116408345	NA	NA	ORTHOMCL0
XP_017945199.2	105946381	NA	NA	ORTHOMCL0
XP_031751045.1	116408401	NA	NA	ORTHOMCL0
XP_031759925.1	116411574	NA	NA	ORTHOMCL0
XP_031750933.1	116408261	NA	NA	ORTHOMCL0
XP_031751021.1	100491345	NA	NA	ORTHOMCL0
XP_012811503.2	100493626	NA	NA	ORTHOMCL0
XP_031751053.1	100498444	NA	NA	ORTHOMCL0
XP_017946374.2	108645658	NA	NA	ORTHOMCL0
XP_031750973.1	116408331	NA	NA	ORTHOMCL0
XP_031751037.1	116408397	NA	NA	ORTHOMCL0
XP_031751005.1	116408371	NA	NA	ORTHOMCL0
XP_031751017.1	116408382	NA	NA	ORTHOMCL0
XP_012811464.1	100491053	NA	NA	ORTHOMCL0
XP_031751049.1	100489075	NA	NA	ORTHOMCL0
XP_031751001.1	116408368	NA	NA	ORTHOMCL0
XP_017945144.2	105946392	NA	NA	ORTHOMCL0
XP_031751025.1	116408387	NA	NA	ORTHOMCL0
XP_017945074.2	101734033	NA	NA	ORTHOMCL0
XP_031759953.1	105945551	NA	NA	ORTHOMCL0
XP_031750929.1	105946479	NA	NA	ORTHOMCL0
XP_017946391.1	101733694	NA	NA	ORTHOMCL0
XP_031751041.1	100494332	NA	NA	ORTHOMCL0
XP_031751009.1	116408374	NA	NA	ORTHOMCL0
XP_031759911.1	108644783	NA	NA	ORTHOMCL0
XP_031751015.1	116408381	NA	NA	ORTHOMCL0
XP_012811457.2	100498296	NA	NA	ORTHOMCL0
XP_031751047.1	116408402	NA	NA	ORTHOMCL0
XP_012811586.2	101731462	NA	NA	ORTHOMCL0
XP_031751023.1	100492345	NA	NA	ORTHOMCL0
XP_012811524.1	105946390	NA	NA	ORTHOMCL0
XP_031760319.1	100486691	NA	NA	ORTHOMCL0
XP_031750975.1	116408333	NA	NA	ORTHOMCL0
XP_031751039.1	116408399	NA	NA	ORTHOMCL0
XP_031751007.1	116408373	NA	NA	ORTHOMCL0
XP_031751019.1	116408384	NA	NA	ORTHOMCL0
XP_031751051.1	105946480	NA	NA	ORTHOMCL0
XP_031759931.1	108644785	NA	NA	ORTHOMCL0
XP_031751035.1	105946403	NA	NA	ORTHOMCL0
XP_031751003.1	116408369	NA	NA	ORTHOMCL0
XP_031751027.1	100490840	NA	NA	ORTHOMCL0
XP_017945076.2	101730483	NA	NA	ORTHOMCL0
XP_012811561.1	100491223	NA	NA	ORTHOMCL0
XP_004911570.2	101734131	NA	NA	ORTHOMCL0
XP_031750931.1	100490217	NA	NA	ORTHOMCL0
XP_031760067.1	116411610	NA	NA	ORTHOMCL0
XP_031751043.1	105946414	NA	NA	ORTHOMCL0
XP_031751011.1	116408377	NA	NA	ORTHOMCL0
XP_012811639.2	100490735	NA	NA	ORTHOMCL0
XP_031751014.1	116408380	NA	NA	ORTHOMCL0
XP_012811455.1	105945181	NA	NA	ORTHOMCL0
XP_031751046.1	100489380	NA	NA	ORTHOMCL0
XP_031751030.1	101732289	NA	NA	ORTHOMCL0
XP_012811581.2	101731100	NA	NA	ORTHOMCL0
XP_031751022.1	116408386	NA	NA	ORTHOMCL0
XP_012811505.1	100494197	NA	NA	ORTHOMCL0
XP_017946379.2	108645662	NA	NA	ORTHOMCL0
XP_031751038.1	116408398	NA	NA	ORTHOMCL0
XP_031751006.1	116408372	NA	NA	ORTHOMCL0
XP_031751018.1	116408383	NA	NA	ORTHOMCL0
XP_031751050.1	100488739	NA	NA	ORTHOMCL0
XP_031750970.1	116408329	NA	NA	ORTHOMCL0
XP_031751034.1	100488963	NA	NA	ORTHOMCL0
XP_031751002.1	100492199	NA	NA	ORTHOMCL0
XP_017945145.1	100491865	NA	NA	ORTHOMCL0
XP_031751026.1	116408388	NA	NA	ORTHOMCL0
XP_017945075.2	105946411	NA	NA	ORTHOMCL0
XP_012811543.1	100490505	NA	NA	ORTHOMCL0
XP_031750930.1	100490903	NA	NA	ORTHOMCL0
XP_017946394.1	108645668	NA	NA	ORTHOMCL0
XP_031751042.1	105946413	NA	NA	ORTHOMCL0
XP_031751016.1	108645659	NA	NA	ORTHOMCL0
XP_012811458.1	105946363	NA	NA	ORTHOMCL0
XP_031751048.1	108645427	NA	NA	ORTHOMCL0
XP_031751000.1	116408367	NA	NA	ORTHOMCL0
XP_012811596.1	100487968	NA	NA	ORTHOMCL0
XP_031751024.1	105946401	NA	NA	ORTHOMCL0
XP_031750928.1	116408260	NA	NA	ORTHOMCL0
XP_031751040.1	116408400	NA	NA	ORTHOMCL0
XP_031751008.1	105946398	NA	NA	ORTHOMCL0
XP_031760300.1	108645667	NA	NA	ORTHOMCL0
XP_031751020.1	116408385	NA	NA	ORTHOMCL0
XP_031751052.1	105946420	NA	NA	ORTHOMCL0
XP_031750972.1	100497670	NA	NA	ORTHOMCL0
XP_031751036.1	100487329	NA	NA	ORTHOMCL0
XP_031751004.1	116408370	NA	NA	ORTHOMCL0
XP_012811564.1	105946409	NA	NA	ORTHOMCL0
XP_031759892.1	116411561	NA	NA	ORTHOMCL0
XP_031750932.1	101733973	NA	NA	ORTHOMCL0
XP_031760324.1	100491388	NA	NA	ORTHOMCL0
XP_017945198.2	100493683	NA	NA	ORTHOMCL0
XP_002941776.2	100488911	NA	NA	ORTHOMCL0
XP_031751012.1	116408378	NA	NA	ORTHOMCL0
XP_012811268.2	100487264	NA	NA	ORTHOMCL0
NP_001039066.1	733855	NA	NA	ORTHOMCL1
XP_031762661.1	116412608	NA	NA	ORTHOMCL1
XP_031762669.1	105945670	NA	NA	ORTHOMCL1
XP_031762703.1	100489535	NA	NA	ORTHOMCL1
XP_031762678.1	108644876	NA	NA	ORTHOMCL1
XP_031762682.1	100493468	NA	NA	ORTHOMCL1
XP_031762674.1	100489068	NA	NA	ORTHOMCL1
XP_031750437.1	105945218	NA	NA	ORTHOMCL1
XP_031750853.1	116408238	NA	NA	ORTHOMCL1
XP_012810599.2	100495568	NA	NA	ORTHOMCL1
XP_004919979.2	101731350	NA	NA	ORTHOMCL1
XP_031750837.1	116408231	NA	NA	ORTHOMCL1
XP_002940232.3	100489697	NA	NA	ORTHOMCL1
XP_017945610.2	100495722	NA	NA	ORTHOMCL1
XP_031750997.1	116408364	NA	NA	ORTHOMCL1
XP_002943436.3	100487072	NA	NA	ORTHOMCL1
