#XT_gene	HS_gene	OrthoID
100036594	1588	ORTHOMCL9345
100036596	27303	ORTHOMCL129
100036596	5937	ORTHOMCL129
100036596	5939	ORTHOMCL129
100036597	10002	ORTHOMCL7085
100036598	8028	ORTHOMCL559
100036599	3717	ORTHOMCL10406
100036600	5775	ORTHOMCL2143
100036601	4781	ORTHOMCL1619
100036602	399665	ORTHOMCL3197
100036603	50846	ORTHOMCL10114
100036604	11189	ORTHOMCL113
100036604	56853	ORTHOMCL113
100036604	60677	ORTHOMCL113
100036604	60680	ORTHOMCL113
100036606	10868	ORTHOMCL3111
100036607	10110	ORTHOMCL617
100036607	23678	ORTHOMCL617
100036607	6446	ORTHOMCL617
100036609	240	ORTHOMCL9016
100036610	55486	ORTHOMCL1009
100036611	23373	ORTHOMCL3368
100036612	4124	ORTHOMCL7312
100036613	80724	ORTHOMCL8468
100036615	83473	ORTHOMCL4410
100036618	6299	ORTHOMCL1928
100036619	55705	ORTHOMCL7437
100036620	80314	ORTHOMCL1989
100036630	23019	ORTHOMCL9978
100036631	3915	ORTHOMCL9715
100036632	5126	ORTHOMCL9390
100036633	1298	ORTHOMCL9310
100036635	7975	ORTHOMCL1899
100036637	6788	ORTHOMCL3231
100036637	6789	ORTHOMCL3231
100036638	5922	ORTHOMCL7960
100036644	10298	ORTHOMCL1436
100036644	57144	ORTHOMCL1436
100036645	26504	ORTHOMCL5501
100036646	79651	ORTHOMCL9938
100036647	6709	ORTHOMCL664
100036648	57576	ORTHOMCL4976
100036650	51762	ORTHOMCL9526
100036652	2181	ORTHOMCL657
100036652	2182	ORTHOMCL657
100036656	593	ORTHOMCL4777
100036658	80204	ORTHOMCL5361
100036664	4211	ORTHOMCL323
100036664	4212	ORTHOMCL323
100036667	26091	ORTHOMCL5223
100036668	3376	ORTHOMCL8096
100036669	84293	ORTHOMCL7811
100036670	23671	ORTHOMCL3047
100036673	138311	ORTHOMCL5812
100036675	81846	ORTHOMCL1490
100036676	22903	ORTHOMCL1004
100036676	90135	ORTHOMCL1004
100036677	2117	ORTHOMCL5720
100036679	64175	ORTHOMCL1388
100036680	54497	ORTHOMCL3095
100036681	55761	ORTHOMCL4948
100036682	6585	ORTHOMCL541
100036682	6586	ORTHOMCL541
100036682	9353	ORTHOMCL541
100036684	79158	ORTHOMCL2348
100036685	57643	ORTHOMCL1299
100036685	57688	ORTHOMCL1299
100036685	65249	ORTHOMCL1299
100036686	9148	ORTHOMCL7738
100036687	79960	ORTHOMCL7938
100036688	23122	ORTHOMCL5463
100036688	23332	ORTHOMCL5463
100036689	23523	ORTHOMCL1294
100036690	55031	ORTHOMCL2231
100036691	80824	ORTHOMCL4985
100036692	260425	ORTHOMCL5441
100036693	64419	ORTHOMCL3212
100036694	535	ORTHOMCL872
100036703	84461	ORTHOMCL3215
100036703	NA	ORTHOMCL3215
100036705	7414	ORTHOMCL1493
100036706	4735	ORTHOMCL1563
100036707	22856	ORTHOMCL1882
100036707	337876	ORTHOMCL1882
100036708	57649	ORTHOMCL7235
100036710	5469	ORTHOMCL10268
100036711	5456	ORTHOMCL9089
100036717	4591	ORTHOMCL3288
100036719	8412	ORTHOMCL3457
100036721	50807	ORTHOMCL615
100036722	5153	ORTHOMCL3424
100036723	23335	ORTHOMCL1303
100036724	781	ORTHOMCL9570
100036727	10418	ORTHOMCL8030
100036728	29956	ORTHOMCL7339
100036730	375775	ORTHOMCL10320
100036731	8110	ORTHOMCL684
100036731	8193	ORTHOMCL684
100036732	30061	ORTHOMCL4760
100036733	7903	ORTHOMCL7461
100036734	25981	ORTHOMCL4809
100036735	29906	ORTHOMCL3113
100036737	1734	ORTHOMCL8758
100037837	26509	ORTHOMCL540
100037839	4753	ORTHOMCL7856
100037840	5530	ORTHOMCL456
100037840	5532	ORTHOMCL456
100037840	5533	ORTHOMCL456
100037842	4851	ORTHOMCL9770
100037843	11033	ORTHOMCL10272
100037845	5361	ORTHOMCL798
100037845	55558	ORTHOMCL798
100037847	51308	ORTHOMCL4695
100037849	23118	ORTHOMCL2061
100037850	55707	ORTHOMCL7870
100037852	6455	ORTHOMCL1363
100037852	6456	ORTHOMCL1363
100037852	6457	ORTHOMCL1363
100037853	627	ORTHOMCL2283
100037857	5530	ORTHOMCL456
100037857	5532	ORTHOMCL456
100037857	5533	ORTHOMCL456
100037860	1495	ORTHOMCL1088
100037860	1496	ORTHOMCL1088
100037861	3694	ORTHOMCL9751
100037864	140606	ORTHOMCL9505
100037869	201161	ORTHOMCL5455
100037870	55750	ORTHOMCL5087
100037872	27115	ORTHOMCL387
100037872	5150	ORTHOMCL387
100037876	5127	ORTHOMCL438
100037876	5128	ORTHOMCL438
100037876	5129	ORTHOMCL438
100037877	23583	ORTHOMCL10520
100037879	127833	ORTHOMCL682
100037879	6857	ORTHOMCL682
100037880	130355	ORTHOMCL2296
100037882	3621	ORTHOMCL4630
100037884	10773	ORTHOMCL1564
100037885	51501	ORTHOMCL10012
100037893	11061	ORTHOMCL8920
100037894	10376	ORTHOMCL75
100037894	112714	ORTHOMCL75
100037894	51807	ORTHOMCL75
100037894	7277	ORTHOMCL75
100037894	7278	ORTHOMCL75
100037894	7846	ORTHOMCL75
100037894	79861	ORTHOMCL75
100037894	84790	ORTHOMCL75
100037898	10554	ORTHOMCL378
100037899	3304	ORTHOMCL203
100037899	3305	ORTHOMCL203
100037899	3306	ORTHOMCL203
100037899	3309	ORTHOMCL203
100037899	3310	ORTHOMCL203
100037899	3312	ORTHOMCL203
100037899	NA	ORTHOMCL203
100037900	6010	ORTHOMCL7816
100037902	23254	ORTHOMCL599
100037904	6750	ORTHOMCL4881
100037906	145567	ORTHOMCL2876
100037907	27087	ORTHOMCL2789
100037909	306	ORTHOMCL8345
100037912	90355	ORTHOMCL4950
100037913	134829	ORTHOMCL3174
100037913	157807	ORTHOMCL3174
100037914	4284	ORTHOMCL9238
100037916	79953	ORTHOMCL7532
100037918	133015	ORTHOMCL3267
100037919	2070	ORTHOMCL57
100037919	2138	ORTHOMCL57
100037919	2139	ORTHOMCL57
100038034	1455	ORTHOMCL364
100038034	1456	ORTHOMCL364
100038034	53944	ORTHOMCL364
100038035	10818	ORTHOMCL2798
100038037	6046	ORTHOMCL1145
100038039	2063	ORTHOMCL269
100038039	7025	ORTHOMCL269
100038039	7026	ORTHOMCL269
100038040	2669	ORTHOMCL9525
100038042	23592	ORTHOMCL4532
100038043	5578	ORTHOMCL544
100038043	5579	ORTHOMCL544
100038043	5582	ORTHOMCL544
100038044	80018	ORTHOMCL9951
100038047	83732	ORTHOMCL4764
100038051	9620	ORTHOMCL3093
100038052	5914	ORTHOMCL366
100038052	5915	ORTHOMCL366
100038052	5916	ORTHOMCL366
100038053	5566	ORTHOMCL326
100038053	5567	ORTHOMCL326
100038053	5568	ORTHOMCL326
100038055	26060	ORTHOMCL7665
100038056	140735	ORTHOMCL4768
100038058	3232	ORTHOMCL1073
100038061	55215	ORTHOMCL4454
100038062	5862	ORTHOMCL8581
100038069	2018	ORTHOMCL10186
100038071	894	ORTHOMCL10170
100038072	4091	ORTHOMCL2775
100038075	22936	ORTHOMCL9036
100038077	4821	ORTHOMCL8509
100038079	1874	ORTHOMCL7572
100038082	7976	ORTHOMCL7480
100038084	84504	ORTHOMCL8662
100038087	54619	ORTHOMCL1620
100038088	4089	ORTHOMCL10448
100038091	11166	ORTHOMCL7336
100038093	29841	ORTHOMCL335
100038093	79977	ORTHOMCL335
100038099	3199	ORTHOMCL8773
100038100	6422	ORTHOMCL10356
100038101	3021	ORTHOMCL3513
