# UNIPROT_ACC,REFSEQ_PROT_ID,REFSEQ_RNA_ID,NCBI_GENE_ID,XB_GENE_ID
A0A023W428,NP_001278991.1,NM_001292062.1,GeneID:100492429,XB-GENE-1216189
A0A059XIA4,XP_031747443.1,XM_031891583.1,GeneID:116406756,XB-GENE-29091935
A0A0B4J2K4,NP_001017102.1,NM_001017102.2,GeneID:549856,XB-GENE-970688
A0A0G2KBD6,XP_012816439.1,XM_012960985.3,GeneID:496553,XB-GENE-481480
A0A0P0YQA4,NP_001304833.1,NM_001317904.1,GeneID:100490436,XB-GENE-990436
A0A193GMR8,NP_001316486.1,NM_001329557.1,GeneID:100492021,XB-GENE-6073495
A0A1B1FFN4,XP_031754023.1,XM_031898163.1,GeneID:116409503,XB-GENE-29095035
A0A1B1FFP0,XP_031754028.1,XM_031898168.1,GeneID:116409508,XB-GENE-29095055
A0A1B1FFP1,XP_031754024.1,XM_031898164.1,GeneID:116409504,XB-GENE-29095039
A0A1B1FFP5,XP_031754027.1,XM_031898167.1,GeneID:116409507,XB-GENE-29095051
A0A1B1FFP8,XP_031754033.1,XM_031898173.1,GeneID:116409513,XB-GENE-29095075
A0A1B1FFP9,XP_031754031.1,XM_031898171.1,GeneID:116409511,XB-GENE-29095067
A0A1B1FFQ0,XP_031754029.1,XM_031898169.1,GeneID:116409509,XB-GENE-29095059
A0A1B1FFQ1,XP_031754034.1,XM_031898174.1,GeneID:116409514,XB-GENE-29095079
A0A1B1FFQ2,XP_031754036.1,XM_031898176.1,GeneID:116409516,XB-GENE-29095087
A0A1B1FFQ3,XP_031754037.1,XM_031898177.1,GeneID:116409517,XB-GENE-29095091
A0A1B1FFQ4,XP_031754035.1,XM_031898175.1,GeneID:116409515,XB-GENE-29095083
A0A1B1FFQ5,XP_031754032.1,XM_031898172.1,GeneID:116409512,XB-GENE-29095071
A0A1B1FFQ6,XP_031754030.1,XM_031898170.1,GeneID:116409510,XB-GENE-29095063
A0A1B4ZDL3,XP_004919129.1,XM_004919072.4,GeneID:101734831,XB-GENE-29088075
A0A1B4ZDL5,XP_002942209.2,XM_002942163.5,GeneID:100490453,XB-GENE-480406
A0A1B4ZDM5,XP_002942206.3,XM_002942160.5,GeneID:100489935,XB-GENE-482070
A0A1B8XS96,XP_002943045.1,XM_002942999.5,GeneID:100496405,XB-GENE-29083171
A0A1B8XSB0,XP_031749565.1,XM_031893705.1,GeneID:105946205,XB-GENE-29089075
A0A1B8XSC4,XP_031757258.1,XM_031901398.1,GeneID:116410566,XB-GENE-29076939
A0A1B8XSG2,XP_031759497.1,XM_031903637.1,GeneID:100495895,XB-GENE-29082871
A0A1B8XSG7,XP_031750384.1,XM_031894524.1,GeneID:100486112,XB-GENE-940609
A0A1B8XSL0,XP_031749382.1,XM_031893522.1,GeneID:100492872,XB-GENE-23659531
A0A1B8XT87,XP_017946382.2,XM_018090893.2,GeneID:108645664,XB-GENE-29090575
A0A1B8XTI8,XP_002941663.1,XM_002941617.5,GeneID:100486545,XB-GENE-5900998
A0A1B8XTN0,XP_017946161.1,XM_018090672.2,GeneID:100497729,XB-GENE-5717876
A0A1B8XTQ2,XP_031753607.1,XM_031897747.1,GeneID:100302398,XB-GENE-5719290
A0A1B8XTU6,XP_031753311.1,XM_031897451.1,GeneID:101731610,XB-GENE-29085495
A0A1B8XU38,XP_004914927.3,XM_004914870.4,GeneID:100488107,XB-GENE-1011223
A0A1B8XUI9,XP_004920591.1,XM_004920534.3,GeneID:100488079,XB-GENE-22061500
A0A1B8XUK6,XP_002944920.2,XM_002944874.4,GeneID:100491647,XB-GENE-5750715
A0A1B8XUM2,XP_031757259.1,XM_031901399.1,GeneID:116410567,XB-GENE-29096379
A0A1B8XUS2,XP_004912356.1,XM_004912299.4,GeneID:101731027,XB-GENE-958813
A0A1B8XUV9,XP_031746863.1,XM_031891003.1,GeneID:101732106,XB-GENE-29085875
A0A1B8XV10,XP_031759934.1,XM_031904074.1,GeneID:116411577,XB-GENE-29097283
A0A1B8XV34,XP_031759881.1,XM_031904021.1,GeneID:100495124,XB-GENE-29082567
A0A1B8XVB0,XP_012812535.1,XM_012957081.3,GeneID:595012,XB-GENE-979509
A0A1B8XVC8,XP_004914015.1,XM_004913958.4,GeneID:101730527,XB-GENE-22061161
A0A1B8XVF7,XP_031759940.1,XM_031904080.1,GeneID:116411582,XB-GENE-29097299
A0A1B8XVM9,XP_012810532.2,XM_012955078.3,GeneID:105945968,XB-GENE-29089007
A0A1B8XVT9,XP_012810510.1,XM_012955056.3,GeneID:100488381,XB-GENE-29079175
A0A1B8XVX5,XP_004920349.1,XM_004920292.3,GeneID:101731877,XB-GENE-22068178
A0A1B8XW41,XP_002943546.1,XM_002943500.5,GeneID:100487433,XB-GENE-997694
A0A1B8XWB9,XP_002942723.1,XM_002942677.5,GeneID:100494786,XB-GENE-29082383
A0A1B8XWF6,XP_031755461.1,XM_031899601.1,GeneID:100486355,XB-GENE-6462398
A0A1B8XWG7,XP_031747532.1,XM_031891672.1,GeneID:101734724,XB-GENE-997804
A0A1B8XWK8,XP_002941187.1,XM_002941141.5,GeneID:100494829,XB-GENE-29082423
A0A1B8XWS0,XP_031747525.1,XM_031891665.1,GeneID:100492635,XB-GENE-876706
A0A1B8XWW1,XP_012823060.1,XM_012967606.3,GeneID:100493414,XB-GENE-996147
A0A1B8XWW2,XP_002938192.1,XM_002938146.5,GeneID:100489209,XB-GENE-29079623
A0A1B8XX56,XP_031757413.1,XM_031901553.1,GeneID:100170565,XB-GENE-970204
A0A1B8XX67,XP_031754303.1,XM_031898443.1,GeneID:100135114,XB-GENE-5752833
A0A1B8XX76,XP_031750555.1,XM_031894695.1,GeneID:100487226,XB-GENE-984596
A0A1B8XXC7,XP_002941022.2,XM_002940976.5,GeneID:100489172,XB-GENE-995093
A0A1B8XXY9,XP_031747863.1,XM_031892003.1,GeneID:100495552,XB-GENE-29082743
A0A1B8XY60,XP_031761957.1,XM_031906097.1,GeneID:100486017,XB-GENE-29078123
A0A1B8XYB1,XP_012810143.1,XM_012954689.3,GeneID:100492976,XB-GENE-996639
A0A1B8XYF5,XP_031752245.1,XM_031896385.1,GeneID:105945821,XB-GENE-29088939
A0A1B8XYG1,XP_012815688.1,XM_012960234.3,GeneID:496661,XB-GENE-947983
A0A1B8XZQ8,XP_004920523.1,XM_004920466.4,GeneID:101732372,XB-GENE-29086083
A0A1B8XZR1,XP_031752136.1,XM_031896276.1,GeneID:100496286,XB-GENE-6469412
A0A1B8XZT7,XP_002943269.2,XM_002943223.5,GeneID:100379817,XB-GENE-5720787
